FacilityID,Facility,ProgramID,ActvityTypeCategory,ActivityType,Gender,AgeLow,AgeHigh,AttendanceWeekDate,RegisteredIndividualsCount,UniqueIndividualCount,ProgramScheduleID,DateFrom,DateTo,Days,TimeFrom,TimeTo
{C8420FF3-289F-4737-A4F5-FF44DE89CA58},McVeigh Recreation Center,300,After School,After School,M/F,6,12,12/27/2021,21,0,8348,9/13/2021,5/27/2022,"Monday
Tuesday
Wednesday
Thursday
Friday",3:00pm,6:00pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,4800,Athletic,Gymnastics / Tumbling,M/F,3,5,12/13/2021,12,12,8883,12/6/2021,2/26/2022,Thursday,5:30pm,6:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,4800,Athletic,Gymnastics / Tumbling,M/F,3,5,12/13/2021,12,12,8504,9/16/2021,11/18/2021,Thursday,5:30pm,6:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1144,Athletic,Gymnastics / Tumbling,F,9,15,12/13/2021,12,12,7808,3/15/2021,5/28/2021,"Tuesday
Friday",4:00pm,5:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1144,Athletic,Gymnastics / Tumbling,F,9,15,12/13/2021,12,12,8496,9/18/2021,11/20/2021,Saturday,1:30pm,3:00pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1144,Athletic,Gymnastics / Tumbling,F,9,15,12/13/2021,12,12,8882,12/6/2021,2/26/2022,Saturday,1:30pm,3:00pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1141,Athletic,Gymnastics / Tumbling,F,4,5,12/13/2021,8,8,7807,3/15/2021,5/28/2021,Friday,6:00pm,7:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1141,Athletic,Gymnastics / Tumbling,F,4,5,12/13/2021,8,8,8495,9/15/2021,11/17/2021,"Wednesday
Thursday",5:00pm,7:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1152,Athletic,Gymnastics / Tumbling,F,8,18,12/13/2021,20,20,8880,12/6/2021,2/26/2022,"Monday
Thursday",4:30pm,6:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1152,Athletic,Gymnastics / Tumbling,F,8,18,12/13/2021,20,20,8484,9/13/2021,11/18/2021,"Monday
Thursday",4:30pm,6:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1146,Athletic,Gymnastics / Tumbling,F,8,14,12/13/2021,8,8,8877,12/6/2021,2/26/2022,"Tuesday
Friday",4:30pm,7:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1146,Athletic,Gymnastics / Tumbling,F,8,14,12/13/2021,8,8,8501,9/14/2021,11/19/2021,"Tuesday
Friday",4:30pm,7:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,412,Athletic,Gymnastics / Tumbling,M/F,3,4,12/13/2021,10,10,8875,12/6/2021,2/26/2022,Monday,6:30pm,7:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,412,Athletic,Gymnastics / Tumbling,M/F,3,4,12/13/2021,10,10,8498,9/13/2021,11/15/2021,Monday,6:30pm,7:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,2052,Athletic,Gymnastics / Tumbling,M,6,18,12/13/2021,15,15,8487,9/18/2021,11/20/2021,Saturday,3:00pm,4:00pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1157,Athletic,Gymnastics / Tumbling,M/F,8,18,12/13/2021,12,12,8486,9/14/2021,11/19/2021,"Tuesday
Friday",4:30pm,6:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1157,Athletic,Gymnastics / Tumbling,M/F,8,18,12/13/2021,12,12,7812,3/15/2021,5/28/2021,"Monday
Wednesday",4:30pm,7:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1157,Athletic,Gymnastics / Tumbling,M/F,8,18,12/13/2021,12,12,8873,12/6/2021,2/26/2022,"Tuesday
Friday",4:30pm,6:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1145,Athletic,Gymnastics / Tumbling,M/F,18,36,12/13/2021,12,12,8502,9/15/2021,11/17/2021,Wednesday,6:00pm,7:00pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1145,Athletic,Gymnastics / Tumbling,M/F,18,36,12/13/2021,12,12,8872,12/6/2021,2/26/2022,Wednesday,6:00pm,7:00pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,4799,Athletic,Gymnastics / Tumbling,M/F,18,99,12/13/2021,10,10,8871,12/6/2021,2/26/2022,Tuesday,7:00pm,8:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,4799,Athletic,Gymnastics / Tumbling,M/F,18,99,12/13/2021,10,10,8500,9/14/2021,11/23/2021,Tuesday,7:00pm,8:15pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,2050,Athletic,Gymnastics / Tumbling,M/F,6,18,12/13/2021,15,15,7813,3/15/2021,5/28/2021,Thursday,4:30pm,7:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,2050,Athletic,Gymnastics / Tumbling,M/F,6,18,12/13/2021,15,15,8494,9/18/2021,11/20/2021,Saturday,12:00pm,1:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,4800,Athletic,Gymnastics / Tumbling,M/F,3,5,12/6/2021,12,12,8883,12/6/2021,2/26/2022,Thursday,5:30pm,6:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,4800,Athletic,Gymnastics / Tumbling,M/F,3,5,12/6/2021,12,12,8504,9/16/2021,11/18/2021,Thursday,5:30pm,6:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1144,Athletic,Gymnastics / Tumbling,F,9,15,12/6/2021,12,12,7808,3/15/2021,5/28/2021,"Tuesday
Friday",4:00pm,5:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1144,Athletic,Gymnastics / Tumbling,F,9,15,12/6/2021,12,12,8496,9/18/2021,11/20/2021,Saturday,1:30pm,3:00pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1144,Athletic,Gymnastics / Tumbling,F,9,15,12/6/2021,12,12,8882,12/6/2021,2/26/2022,Saturday,1:30pm,3:00pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1141,Athletic,Gymnastics / Tumbling,F,4,5,12/6/2021,8,8,7807,3/15/2021,5/28/2021,Friday,6:00pm,7:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1141,Athletic,Gymnastics / Tumbling,F,4,5,12/6/2021,8,8,8495,9/15/2021,11/17/2021,"Wednesday
Thursday",5:00pm,7:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1152,Athletic,Gymnastics / Tumbling,F,8,18,12/6/2021,20,20,8880,12/6/2021,2/26/2022,"Monday
Thursday",4:30pm,6:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1152,Athletic,Gymnastics / Tumbling,F,8,18,12/6/2021,20,20,8484,9/13/2021,11/18/2021,"Monday
Thursday",4:30pm,6:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1146,Athletic,Gymnastics / Tumbling,F,8,14,12/6/2021,8,8,8877,12/6/2021,2/26/2022,"Tuesday
Friday",4:30pm,7:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1146,Athletic,Gymnastics / Tumbling,F,8,14,12/6/2021,8,8,8501,9/14/2021,11/19/2021,"Tuesday
Friday",4:30pm,7:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1142,Athletic,Gymnastics / Tumbling,M/F,6,10,12/6/2021,10,10,8497,9/13/2021,11/15/2021,Monday,6:30pm,7:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1142,Athletic,Gymnastics / Tumbling,M/F,6,10,12/6/2021,10,10,8876,12/6/2021,2/26/2022,Monday,6:30pm,7:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,412,Athletic,Gymnastics / Tumbling,M/F,3,4,12/6/2021,10,10,8875,12/6/2021,2/26/2022,Monday,6:30pm,7:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,412,Athletic,Gymnastics / Tumbling,M/F,3,4,12/6/2021,10,10,8498,9/13/2021,11/15/2021,Monday,6:30pm,7:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1157,Athletic,Gymnastics / Tumbling,M/F,8,18,12/6/2021,12,12,8486,9/14/2021,11/19/2021,"Tuesday
Friday",4:30pm,6:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1157,Athletic,Gymnastics / Tumbling,M/F,8,18,12/6/2021,12,12,7812,3/15/2021,5/28/2021,"Monday
Wednesday",4:30pm,7:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1157,Athletic,Gymnastics / Tumbling,M/F,8,18,12/6/2021,12,12,8873,12/6/2021,2/26/2022,"Tuesday
Friday",4:30pm,6:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1145,Athletic,Gymnastics / Tumbling,M/F,18,36,12/6/2021,12,12,8502,9/15/2021,11/17/2021,Wednesday,6:00pm,7:00pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1145,Athletic,Gymnastics / Tumbling,M/F,18,36,12/6/2021,12,12,8872,12/6/2021,2/26/2022,Wednesday,6:00pm,7:00pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,4799,Athletic,Gymnastics / Tumbling,M/F,18,99,12/6/2021,10,10,8871,12/6/2021,2/26/2022,Tuesday,7:00pm,8:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,4799,Athletic,Gymnastics / Tumbling,M/F,18,99,12/6/2021,10,10,8500,9/14/2021,11/23/2021,Tuesday,7:00pm,8:15pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,2050,Athletic,Gymnastics / Tumbling,M/F,6,18,12/6/2021,15,15,7813,3/15/2021,5/28/2021,Thursday,4:30pm,7:30pm
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,2050,Athletic,Gymnastics / Tumbling,M/F,6,18,12/6/2021,15,15,8494,9/18/2021,11/20/2021,Saturday,12:00pm,1:30pm
{65FDE44A-69BC-433C-8AD9-109921607BDE},Simons Center,114,Educational,Educational,F,9,13,12/13/2021,3,2,8458,9/22/2021,6/1/2022,Wednesday,6:00pm,8:00pm
{65FDE44A-69BC-433C-8AD9-109921607BDE},Simons Center,1167,Other,Special Event,M/F,1,99,12/13/2021,,80,,,,,,
{65FDE44A-69BC-433C-8AD9-109921607BDE},Simons Center,118,Athletic,Gymnastics / Tumbling,M/F,6,13,12/20/2021,2,2,8807,11/8/2021,5/24/2022,Tuesday,6:30pm,8:00pm
{65FDE44A-69BC-433C-8AD9-109921607BDE},Simons Center,118,Athletic,Gymnastics / Tumbling,M/F,6,13,12/13/2021,2,2,8807,11/8/2021,5/24/2022,Tuesday,6:30pm,8:00pm
{65FDE44A-69BC-433C-8AD9-109921607BDE},Simons Center,4783,Cultural,Dance,M/F,5,13,12/6/2021,22,20,8456,9/14/2021,6/10/2022,"Tuesday
Wednesday
Thursday
Friday",6:00pm,8:00pm
{65FDE44A-69BC-433C-8AD9-109921607BDE},Simons Center,3783,Cultural,Drama,M/F,6,16,12/6/2021,1,1,8815,11/16/2021,6/3/2022,"Tuesday
Wednesday
Thursday
Friday",4:00pm,5:30pm
{65FDE44A-69BC-433C-8AD9-109921607BDE},Simons Center,4783,Cultural,Dance,M/F,5,13,12/20/2021,22,11,8456,9/14/2021,6/10/2022,"Tuesday
Wednesday
Thursday
Friday",6:00pm,8:00pm
{55C77977-EFE8-4C26-B7C6-48845CE1EC80},Fishtown Recreation Center,4813,Other,Video Games,M/F,6,11,12/13/2021,6,5,8548,10/11/2021,11/26/2021,"Monday
Friday",7:00pm,8:00pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4841,Athletic,Gymnastics / Tumbling,M/F,5,6,11/15/2021,10,10,8601,10/2/2021,5/21/2022,Saturday,11:15am,12:15pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4840,Athletic,Gymnastics / Tumbling,M/F,3,4,11/15/2021,10,10,8599,10/2/2021,5/21/2022,Saturday,10:00am,11:00am
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4840,Athletic,Gymnastics / Tumbling,M/F,3,4,11/15/2021,10,10,8600,10/5/2021,5/24/2022,Tuesday,6:00pm,7:00pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4317,Other,Meeting,M/F,18,99,11/15/2021,12,12,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,11/15/2021,10,10,8153,7/5/2021,9/10/2021,"Monday
Tuesday
Wednesday
Thursday
Friday",3:00pm,7:00pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,11/15/2021,10,10,8227,9/13/2021,5/27/2022,"Monday
Wednesday
Friday",6:30pm,8:00pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,519,After School,After School,M/F,5,11,11/15/2021,27,27,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,793,Athletic,Gymnastics / Tumbling,M/F,5,15,11/15/2021,10,10,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,520,Athletic,Gymnastics / Tumbling,M/F,5,12,11/8/2021,10,10,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4841,Athletic,Gymnastics / Tumbling,M/F,5,6,11/8/2021,10,10,8601,10/2/2021,5/21/2022,Saturday,11:15am,12:15pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4840,Athletic,Gymnastics / Tumbling,M/F,3,4,11/8/2021,10,10,8599,10/2/2021,5/21/2022,Saturday,10:00am,11:00am
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4840,Athletic,Gymnastics / Tumbling,M/F,3,4,11/8/2021,10,10,8600,10/5/2021,5/24/2022,Tuesday,6:00pm,7:00pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4317,Other,Meeting,M/F,18,99,11/8/2021,12,12,,,,,,
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,11/8/2021,10,10,8153,7/5/2021,9/10/2021,"Monday
Tuesday
Wednesday
Thursday
Friday",3:00pm,7:00pm
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,11/8/2021,10,10,8227,9/13/2021,5/27/2022,"Monday
Wednesday
Friday",6:30pm,8:00pm
