FacilityID,PPR_Properties_ID
{01382528-5150-48E2-BE9B-2A0CCFCAE985},227
{0281C66B-86F0-4D92-8EA1-F6551851BEDB},226
{03DCF99B-10DE-4124-9636-53183FC1CDA6},359
{053512B1-B60B-4D09-B68B-EE2958A23150},93
{061B897F-D1E8-4883-840F-628023AC7013},110
{068B547F-86AC-43BB-B8C2-4F38EB89591E},45
{0B531E20-3B59-496E-8C6C-22F128AF0786},124
{0D814772-980A-4A53-8B2D-5EE31A8401A5},130
{0F17A4FC-4BBC-4BAF-B05C-948E28B2899C},101
{0F75B24D-35FA-465A-9592-12E5B5DDBB55},266
{102EE6E8-BD0E-4275-8FEF-4FF9D1D54E98},96
{10A6CE3E-230F-44B2-801C-9C52740AAC48},325
{135D967B-3A67-40F3-9B1A-9F53E27CAA06},157
{13A2BE9D-A26D-4E75-9B3A-1DAED4DD84C6},
{14CC705D-24AC-4231-8B47-FBBF0CCB317F},238
{162FDB98-9890-46F0-B667-AAB228EA5D51},164
{17258C48-4773-49C7-9A0E-6E071F45FD4E},188
{1E6415F3-4897-4A37-906D-ECB87CFC69FE},118
{2051005E-4332-44D3-B6C3-CC19FB7A30D4},10
{21363D9D-A705-4BBB-8F7D-4E05257750A9},92
{21668694-E3AC-42EC-A0B7-2ED982B62A91},103
{22AA0065-F278-4063-AC09-386A4B341C79},97
{247158D9-B8FE-4DD5-A20C-1DFF0C80D7F5},229
{27089A13-130E-4A37-BA00-238372CC0690},340
{272D34C8-23AB-4FA3-922F-A62DAC05B9AB},8
{273DD2C8-6C55-453C-8210-5917C2DB628A},
{2755E33E-6095-4D66-B557-FF5BDDB7A747},304
{280547FA-8695-4C03-90B1-B8A5093F8B7C},207
{287D42C5-CF0B-4C75-AA04-F5B431F660AC},308
{2906523F-E348-4AC3-A7CA-FC39547B9542},279
{298809CB-A118-4234-8A54-54260C378AD7},107
{2BE536AC-01DA-4771-B632-22D8A4034972},315
{2C346D14-B668-4C79-8FD1-B85025C7B7F9},425
{2CF5F694-BA2E-4041-8F4A-DAACBCB0538F},
{2FBAF122-237F-405B-ABB2-5C65C5B6127B},416
{30AE77FF-DF56-42AC-81F7-3C9823D689E8},299
{33507BD9-2237-4D2C-BE56-7239D6621760},201
{33677B77-E1BD-4A35-9382-2ADB7410FC82},163
{35345A88-2882-475D-BE53-A87A514A954E},508
{365F4203-96D2-4865-966C-9BC7367B83B4},307
{36AE5672-EB02-42B6-BA8C-41487D404F3A},198
{38CBCA20-7C76-4399-A5CF-2EB9C8FF867D},224
{3B42574C-7C7C-4775-94C3-7624468F5715},286
{3FDFAC3B-A843-4377-B579-722EACC55CD4},30
{4052737F-EC99-486E-B732-E57050BA2F0D},148
{420C7330-8387-4513-B9F1-74095C6E3A7D},238
{431FA48C-DDA9-4549-BE86-A9A9C86C315A},232
{4388B2CA-EFAA-4B89-833D-5F70C70DD203},159
{438CCE17-0257-4FC6-B673-73CF9156EB7F},202
{45FA361A-0340-4DFF-9C45-3DC1C5C7F0D1},160
{461296C0-B000-45E5-94FE-F0F538169F5E},
{47F5703B-88E9-44A6-9E25-DAEE70424DEB},182
{4BA3D728-0E5D-4132-A1E6-4233BF19EA09},327
{4BAE321C-3806-42A5-9BFE-A59CC3D047B1},498
{4CD97DF1-DD98-44B2-82FD-1E7893676766},348
{4D36E2CA-3587-4E5C-AB9C-63148F64F020},24
{5168AEF3-CAAC-44BD-8E37-AD9E35C679D3},241
