OBJECTID,PUBLIC_NAME,PARENT_NAME,OFFICIAL_NAME,LABEL,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,BLD_CLASSIFICATION,BLD_TYPE,HISTORIC,BLD_ACCESS,FLOOR_COUNT,INTERIOR_SQUARE_FOOTAGE,PPR_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
1,Dr Martin Luther King Jr Older Adult Center,Dr Martin Luther King Jr Older Adult Center,"Dr. Martin Luther King, Jr. Older Adult Center",King Older Adult Center,M.L. King Older Adult Center,3078,2102 W CECIL B MOORE AVE,19121,"2100-06 CECIL B MOORE AVE; 2100-04 CECIL B MOORE AVE","2100-06 CECIL B MOORE AVE; 2100-04 CECIL B MOORE AVE",BUILDING,OLDER_ADULT_CENTER,N,CONDITIONAL,0,0,6,6,5,22,Y,Formerly a Redevelopment Building,1667.4765625,171.363199544888
2,Dugout,Franklin Delano Roosevelt Park, , ,"Richie Ashburn Field 1;Ashburn Field West Home Dugout",748,1480 FDR PARK DR,19145,3500 S BROAD ST,"3500 S BROAD ST;1800 PATTISON AVE",STRUCTURE,ATHLETIC,N,PUBLIC,0,0,9,7,2,1,N, ,68.6484375,41.923816384736
3,Restrooms,Franklin Delano Roosevelt Park, , ,Richie Ashburn Field Restrooms,1373,1480 FDR PARK DR,19145,3500 S BROAD ST,"3500 S BROAD ST;1800 PATTISON AVE",BUILDING,COMFORT_STATION,N,PUBLIC,1,0,9,7,2,1,N, ,114.40625,44.6761137395143
4,PPR Fleet Building,Franklin Delano Roosevelt Park, , ,"FDR Pool Locker Room; FDR Pool Building",2843,1496 FDR PARK DR,19145,3500 S BROAD ST,"1601 FDR PARK DR;3500 S BROAD ST;1800 PATTISON AVE",BUILDING,OPERATIONS,Y,STAFF_ONLY,1,0,9,7,2,1,N, ,2282.83984375,299.615202970194
5,District Office (FDR Park),Franklin Delano Roosevelt Park, ,District Office (FDR),"District #7 Op & Maint HQ,FDR Mainenance;District #2 Office (Formerly)",948,1490 FDR PARK DR,19145,3500 S BROAD ST,"1607 FDR PARK DR;3500 S BROAD ST;1800 PATTISON AVE",BUILDING,OFFICE,N,STAFF_ONLY,1,0,9,7,2,1,N, ,2249,293.812008539173
6,FDR Park Boathouse,Franklin Delano Roosevelt Park, ,FDR Boathouse,"Boat House Pavilion #09 FDR;FDR Boathouse",949,1438 FDR PARK DR,19145,3500 S BROAD ST,"1900 FDR PARK DR;3500 S BROAD ST;1800 PATTISON AVE",BUILDING,OPERATIONS, ,PUBLIC,1,0,9,7,2,1,N, ,1453.53515625,186.521979804894
7,FDR Park Club House,Franklin Delano Roosevelt Park, , ,FDR Park Golf Course Club House,641,3597 S 20TH ST,19145,3500 S BROAD ST,"20th & Pattison;3500 S BROAD ST;1800 PATTISON AVE",BUILDING,GOLF,N,PUBLIC,0,5301,9,7,2,1,N,Former FDR Park Golf Course Clubhouse Building,1402.390625,170.969564803865
8,Maintenance Barn,Franklin Delano Roosevelt Park, , ,FDR Park Golf Course Maintenance and Car Barn,640,3597 S 20TH ST,19145,"3500 S BROAD ST, 1954 PATTISON AVE","20th & Pattison;3500 S BROAD ST;1954 PATTISON AVE;1800 PATTISON AVE",BUILDING,GOLF,N,STAFF_ONLY,0,8448,9,7,2,1,N,Former FDR Park Golf Course Maintenance and Car Barn,1335.2734375,175.668614437636
9,Bellaire Manor,Franklin Delano Roosevelt Park,Bellaire Manor,Bellaire Manor, ,122,3597 S 20TH ST,19145,1954 PATTISON AVE,"2001 Pattison Ave;2000 PATTISON AVE;1954 PATTISON AVE;1800 PATTISON AVE",BUILDING,RESIDENTIAL,Y,STAFF_ONLY,4,3872,9,7,2,1,N, ,177.98828125,56.862524549003
10,Bellaire Manor Bakehouse,Franklin Delano Roosevelt Park, , , ,1375,3597 S 20TH ST,19145,1954 PATTISON AVE,"2001 Pattison Ave;2000 PATTISON AVE;1954 PATTISON AVE;1800 PATTISON AVE",BUILDING,RESIDENTIAL,Y,STAFF_ONLY,2,0,9,7,2,1,N, ,84.43359375,37.2105235479743
