Places,a,b,c,d,e,f,g,h,i,j,k,l,m,total_out,total_in,cross_boundary,photos
Schoodic Institute,0,13,6,1,11,1,8,0,0,3,3,2,5,53,64,117,1119
Bass Harbor,11,0,32,9,62,12,52,4,6,24,12,15,21,260,288,548,2298
Southwest Harbor,2,42,0,6,27,3,15,4,1,4,1,2,2,109,111,220,723
Northeast Harbor,5,15,8,0,13,1,7,0,2,10,1,2,3,67,76,143,605
Bar Harbor,20,59,24,21,0,17,117,3,12,49,15,40,56,433,357,790,6259
Wild Gardens of Acadia,1,3,1,2,10,0,5,1,1,6,4,11,15,60,66,126,550
Cadillac Mountain,8,55,12,12,102,16,0,0,14,51,12,24,43,349,345,694,3285
Penobscot Peak,2,3,3,2,2,0,0,0,0,2,0,1,1,16,15,31,776
Bubble Rock,1,16,5,0,18,1,13,2,0,17,3,3,4,83,89,172,703
Jordan Pond,6,36,4,10,48,5,51,1,44,0,3,7,12,227,250,477,1250
Boulder Beach,3,10,7,4,10,3,18,0,0,18,0,4,8,85,102,187,536
Thunder Hole,1,17,4,3,25,3,28,0,5,42,32,0,7,167,185,352,977
Sand Beach,4,19,5,6,29,4,31,0,4,24,16,74,0,216,177,393,1253
