X,Y,OBJECTID,AMENITY_NAME,PARK_NAME,DISPLAY_LABEL,STATION_TYPE,LOCATION,DISPLAY_TYPE,COMMENTS,DATA_SOURCE
-75.0616481005925,40.0873506027183,1,Verree Road Picnic Area Restrooms,Pennypack Park,,FOUNTAIN,OUTDOOR,ALL,,"PPR Assets 2019; Initial Trails Web App"
-75.101102238296,40.0454963277533,2,Lawncrest Recreation Center,Lawncrest Recreation Center,,FOUNTAIN,INDOOR,ALL,,Initial Trails Web App
-75.0535811707263,40.0262600237304,3,Franklin Delano Roosevelt Recreation Center,Franklin Delano Roosevelt Playground,Roosevelt,HYDRATION,INDOOR,ALL,Installed 4/2019,Hydrate Philly Project
-75.0464271657902,40.0147562335663,4,Lardners Point Park,Lardners Point Park,,FOUNTAIN,OUTDOOR,ALL,,"Initial Trails Web App, Pictometry 2020"
-75.1211402969434,40.021424700748,5,Feltonville Recreation Center,Feltonville Recreation Center,Feltonville,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.2312633450791,40.0693983088844,6,Samuel F Houston Recreation Center,Samuel F Houston Playground,,FOUNTAIN,OUTDOOR,ALL,,Initial Trails Web App
-75.0492134944423,40.0277410581783,7,Joseph F Vogt Recreation Center,Joseph F Vogt Playground,Vogt*,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.0801355472481,40.0238792189667,8,Joseph C McIlvain Recreation Center,Joseph C McIlvain Playground,McIlvain,HYDRATION,INDOOR,ALL,,"Hydrate Philly Project, PPR Buildings & Structures"
-75.2287229274697,40.0340477740005,9,Hillside Recreation Center,Hillside Recreation Center,Hillside,HYDRATION,INDOOR,ALL,Installed in 2018,Hydrate Philly Project
-75.1677365371031,39.9934967623616,10,Cecil B Moore Recreation Center,Cecil B Moore Recreation Center,C.B. Moore*,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.1875313997958,39.9892589175862,11,Joseph E Mander Recreation Center,Joseph E Mander Playground,Mander*,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.1746718142687,39.987261350543,12,Eric W (Hank) Gathers Jr Recreation Center,Eric W (Hank) Gathers Jr Recreation Center,Gathers,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.1519547677445,39.9860276567925,13,Penrose Memorial Recreation Center,Penrose Memorial Playground,Penrose,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.1456001385693,39.9731533131141,14,Narcissa S Cruz Recreation Center (North),Narcissa S Cruz Recreation Center,Cruz,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.1512921634167,39.9661270220916,15,East Poplar Recreation Center,East Poplar Playground,East Poplar*,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.1911843792096,39.9639068778525,16,James L Wright Recreation Center,James L Wright Playground,Wright,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.210382445208,39.9615750979123,17,John A Lee Cultural Center,John A Lee Cultural Center,Lee,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.2279657915384,39.9346307874729,18,Francis J Myers Recreation Center,Francis J Myers Recreation Center,Myers*,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.1460654586795,40.0504643963436,19,Morris Estate Cultural Center,Morris Estate Cultural Center,Morris Estate,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.1600370593222,40.0495565429699,20,Lonnie Young Recreation Center of East Germantown,Lonnie Young Recreation Center of East Germantown,Lonnie Young,HYDRATION,INDOOR,ALL,Spring 2019 Installation,Hydrate Philly Project
-75.116954717036,40.0426947055919,21,Olney Recreation Center,Olney Recreation Center,Olney*,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.0485037242355,40.021223939108,22,Frank JG Dorsey Memorial Recreation Center,Frank JG Dorsey Memorial Playground,Dorsey,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.075908489355,40.0144963770371,23,William (Billy) Gambrel Recreation Center,William (Billy) Gambrel Playground,Gambrel,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.138036572413,40.0004241451475,24,Ramonita Negron Rivera Recreation and Community Center,Ramonita Negron Rivera Recreation and Community Center,Rivera*,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.1210605608885,40.0003031058964,25,Sergeant John J McVeigh Recreation Center,Sergeant John J McVeigh Recreation Center,McVeigh*,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.1011594143986,39.9864094016074,26,Frank Glavin Recreation Center,Frank Glavin Playground,Glavin*,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.1130623375423,39.9840729424073,27,Cohocksink Recreation Center,Cohocksink Recreation Center,Cohocksink*,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.2409591093284,39.9817812603925,28,Ernest L Tustin Recreation Center,Ernest L Tustin Recreation Center,Tustin,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.2565018301595,39.9743316370998,29,Charles A Papa Recreation Center,Charles A Papa Playground,Papa,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.2346077160828,39.9487335235858,30,Albert W Christy Sr Recreation Center,Albert W Christy Sr Recreation Center,Christy,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.2171570087032,39.9427432092278,31,Kingsessing Recreation Center,Kingsessing Recreation Center,Kingsessing*,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.1871994212922,39.9255452343371,32,Thomas B Smith Recreation Center,Thomas B Smith Recreation Center,Smith,HYDRATION,INDOOR,ALL,Installed Spring 2019,Hydrate Philly Project
-75.1727613265107,39.9229453206148,33,Thomas I Guerin Recreation Center Gym,Thomas I Guerin Recreation Center,Guerin,HYDRATION,INDOOR,ALL,,Hydrate Philly Project
-75.2481885680978,39.9581341876,34,Johnny Sample Recreation Center,Johnny Sample Recreation Center,,FOUNTAIN,INDOOR,ALL,,Initial Trails Web App
-75.2604825909956,39.9731439992616,35,Samuel Rose Recreation Center,Samuel Rose Recreation Center,,FOUNTAIN,INDOOR,PARKS,,Water Fountain Work Orders (DPP-May-July 2018)
-75.1623556424754,39.931460524377,36,South Philadelphia Older Adult Center,South Philadelphia Older Adult Center,,FOUNTAIN,INDOOR,PARKS,,Water Fountain Work Orders (DPP-May-July 2018)
-75.188727826523,39.9312439051342,37,George A Vare Recreation Center,George A Vare Recreation Center,,FOUNTAIN,INDOOR,,Currently Closed,Communications 2021
-75.2021782911328,39.9854730189693,38,Kelly Drive Regatta Comfort Station,East Fairmount Park,,FOUNTAIN,INDOOR,ALL,,Water Fountain Work Orders (DPP-May-July 2018)
-75.2018382986059,39.9859977852374,39,Kelly Drive Regatta Reviewing Stand,East Fairmount Park,,HYDRATION,OUTDOOR,ALL,,"PHLASK Map - Health Data; Street Smart 2020"
-74.9983940522737,40.0590588484856,40,Torresdale Recreation Center,Torresdale Recreation Center,,FOUNTAIN,INDOOR,PARKS,,Water Fountain Work Orders (DPP-May-July 2018)
-74.9892678741422,40.0805993467249,41,Elizabeth M Picariello Recreation Center,Elizabeth M Picariello Playground,,FOUNTAIN,INDOOR,PARKS,,Water Fountain Work Orders (DPP-May-July 2018)
-75.0544689611463,40.0184841240415,42,American Legion Recreation Center,American Legion Playground,,FOUNTAIN,INDOOR,PARKS,,"PHLASK Map - Health Data, Pictometry 2020"
