objectid,park_name,site_number,table_count,comments,data_source,lat,lng
86,Cobbs Creek Park,4,3,N of Haverford Ave,"2018 Street Smart, Pictometry 2020",39.97382480630434,-75.25643539529865
87,Cobbs Creek Park,3,3,N of Haverford Ave,"2018 Street Smart, Pictometry 2020",39.97328497274536,-75.25619007454388
88,West Fairmount Park,4,3,Next to Kelly Pool,2020 Street Smart,39.978316348543885,-75.20765274690562
89,West Fairmount Park,3,4,Next to Kelly Pool,2017 Field Collection,39.97845293861947,-75.20736562236385
90,West Fairmount Park,2,4,Next to Kelly Pool,2020 Street Smart,39.978900629371736,-75.20704253076732
91,East Fairmount Park,8,3,North to Lemon Hill,"2018 Street Smart, Pictometry 2020",39.9723856757768,-75.18726869122618
92,East Fairmount Park,5,2,North of Lemon Hill Pavilion under trees.,NearMap 2021,39.97206685424485,-75.18783644733476
93,East Fairmount Park,1,3,Lemon Hill Pavilion,2017 Field Collection,39.97173768535397,-75.18782649020848
94,East Fairmount Park,6,3,North to Lemon Hill,"2018 Street Smart, Pictometry 2020",39.97237719960799,-75.18816550928501
95,East Fairmount Park,7,3,North to Lemon Hill,"2018 Street Smart, Pictometry 2020",39.971733664221155,-75.18874099369413
96,East Fairmount Park,2,3,North to Lemon Hill,"2017 Field Collection, Pictometry 2020",39.97136965293431,-75.18848418423504
97,West Fairmount Park,4,3,West Fairmount Park-S of Belmont & Edgley Cricket Fields,2018 Street Smart,39.99472312605775,-75.21317070784906
98,West Fairmount Park,3,3,West Fairmount Park-S of Belmont & Edgley Cricket Fields,2018 Street Smart,39.99465678601395,-75.21346836626242
99,West Fairmount Park,2,1,West Fairmount Park-S of Belmont & Edgley Cricket Fields,2018 Street Smart,39.99450658451281,-75.21386902892466
100,West Fairmount Park,1,3,West Fairmount Park-S of Belmont & Edgley Cricket Fields,2018 Street Smart,39.99434287249799,-75.21401052792629
101,Chamounix Tennis Courts,0,2,Chamounix Tennis Courts Pavilion,2020 Street Smart,39.99926218603915,-75.20223038439131
102,West Fairmount Park,1,5,West Fairmount Park-North Georges Hill Picnic Pavilion,2020 Street Smart,39.98707619649391,-75.22286509171934
103,West Fairmount Park,2,3,West Fairmount Park-North Georges Hill Picnic Pavilion Area,"2020 StreetSmart; NearMap 2021",39.98666213239298,-75.22297878624086
104,West Fairmount Park,4,1,North to Tugboat House at Belmont Landing,"2020 Street Smart, Pictometry 2020",39.98215030129358,-75.20526421707967
105,West Fairmount Park,0,1,N of Boelson Cottage,"2018 Street Smart, Pictometry 2020",39.991312426627815,-75.20003038766961
106,West Fairmount Park,0,1,N of Boelson Cottage,"2018 Street Smart, Pictometry 2020",39.990773903007394,-75.20067294624171
107,West Fairmount Park,0,1,N of Boelson Cottage,"2018 Street Smart, Pictometry 2020",39.99054723110269,-75.20115890226529
108,East Fairmount Park,2,3,N 33rd St and Cecil B Moore Ave,"Pictometry 2020, 2018 Street Smart",39.98308203382432,-75.18892308330587
109,Joseph E Mander Playground,2,3,,"2020 StreetSmart;NearMap 2021",39.989770137061306,-75.18926703804014
110,Joseph E Mander Playground,4,3,,"Pictometry 2020, 2018 Street Smart",39.990889124090046,-75.1893456830608
111,Joseph E Mander Playground,3,2,,"Pictometry 2020, 2018 Street Smart",39.9918985428035,-75.1886337000252
