OBJECTID,PUBLIC_NAME,PARENT_NAME,NESTED,OFFICIAL_NAME,LABEL,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,CITY_SCALE_MAPS,LOCAL_SCALE_MAPS,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
1,William H (Billy) Markward Memorial Playground,Schuylkill River Park,Y,William H. (Billy) Markward Memorial Playground,Markward ,,1903,400 S TANEY ST,19146,"400-16 S TANEY ST, 338-46 S 26TH ST, 300 S 26TH ST","400-16 S TANEY ST;Pine & Taney;338-46 S 26TH ST;300 S 26TH ST;2620 Pine St;350 S 26th St",3.37915795,NEIGHBORHOOD_PARK,RECREATION_SITE,7,"5, 7",2,9,Y,Y,Y,,23295.6640625,892.868011862163
2,Schuylkill Banks,Schuylkill Banks,N,,Schuylkill Banks,Schuylkill River Park,2794,400 S TANEY ST,19103,,400-16 S TANEY ST,14.71731429,NEIGHBORHOOD_PARK,GREENWAY_PARKWAY,7,"5, 7","2, 5","9, 17",Y,Y,N,Bill 160113 (4/14/16) -South of South St Bridge,101477.1796875,9300.67028883792
3,Schuylkill River Park,Schuylkill River Park,N,,Schuylkill River Park,,2992,400 S TANEY ST,19146,"400-16 S TANEY ST, 338-46 S 26TH ST, 300 S 26TH ST, 302-22 S 25TH ST, 2500R-06 LOCUST ST","Pine & Taney;400-16 S TANEY ST, 338-46 S 26TH ST, 300 S 26TH ST, 302-22 S 25TH ST, 2500R-06 LOCUST ST",7.32699974,NEIGHBORHOOD_PARK,RECREATION_SITE,7,"5, 7",2,9,Y,Y,N,,50512.58203125,1259.3046568075
4,Frankford Boat Launch,Frankford Boat Launch,N,Frankford Boat Launch,Frankford Launch,"PA Fish & Boat;Frankford Arsenal Boat Launch",3090,5625 TACONY ST,19137,5625 TACONY ST,5650 Tacony St,11.36977501,NEIGHBORHOOD_PARK,BOATHOUSE_LAUNCH,2,2,6,15,Y,Y,N,,78515.3359375,1585.37611414373
5,Orthodox Street Park,Orthodox Street Park,N,,Orthodox,"Orthodox Street Parcel; Bridesburg Riverfront Park",3091,3101 ORTHODOX ST,19137,3101 ORTHODOX ST,,10.56737903,NEIGHBORHOOD_PARK,UNDEVELOPED,5,2,6,15,Y,N,N,"Officially acquired from PAID in 10/2019. Doc 53586794; LWCF Restrictions",72926.1875,1304.90141600924
6,Wissahickon Valley Park,Wissahickon Valley Park,N,Wissahickon Valley Park,Wissahickon Valley Park, ,1357,,19128,,,2064.12583435,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,4,4,"4, 8","5, 14, 39",Y,Y,N,,14273555.8398438,86741.6842223679
7,West Fairmount Park,West Fairmount Park,N,West Fairmount Park,West Fairmount Park,,1714, ,19131,3401 W GIRARD AVE,3401 W GIRARD AVE,1269.28728486,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,7,5,"3, 4","16, 19",Y,Y,N,,8760929.53515625,58820.0334024296
8,Pennypack Park,Pennypack Park,N,Pennypack Park,Pennypack Park,Little City (Near Rhawn St),1651, ,19152,,,1367.41921908,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,1,1,"6, 10","7, 8, 15",Y,Y,N,,9460039.08984375,49816.7920943008
9,East Fairmount Park,East Fairmount Park,N,East Fairmount Park,East Fairmount Park, ,1713, ,19121,"2500 SPRING GARDEN ST;3300 N 33RD ST","2500 SPRING GARDEN ST;3300 N 33RD ST",649.68502154,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,7,5,"4, 5","5, 9, 22, 39",Y,Y,N,,4483651.453125,24720.3680039579
10,Tacony Creek Park,Tacony Creek Park,N,Tacony Creek Park,Tacony Creek Park,Brookwood Park,1961, ,19120,,,316.73957654,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,3,3,"7, 9","2, 15, 24, 25, 35",Y,Y,N,,2188602.3359375,21276.4622527369
11,Franklin Delano Roosevelt Park,Franklin Delano Roosevelt Park,N,Franklin Delano Roosevelt (FDR) Park,FDR Park,"League Island Park;The Lakes;FDR Park",231,3500 S BROAD ST,19145,"3500 S BROAD ST, 1954 PATTISON AVE","Broad & Pattison;1954 PATTISON AVE",348.60505699,WATERSHED_PARK,MISC_PARK,9,7,2,1,Y,Y,N,,2400032.01171875,6113.19338447306
12,Hunting Park,Hunting Park,N,,Hunting,,845,1101 W HUNTING PARK AVE,19140,"4101 OLD YORK RD, 903 W WINGOHOCKING ST","900 HUNTING PARK AVE, 9th & Roosevelt;4101 OLD YORK RD, 903 W WINGOHOCKING ST",76.46722118,REGIONAL_PARK,RECREATION_SITE,3,3,"5, 7",25,Y,Y,Y,,528225.9140625,3213.62001072093
13,Awbury Park and Recreation Center,Awbury Park and Recreation Center,N,Awbury Park and Recreation Center,Awbury,,604,6101 ARDLEIGH ST,19138,6101 ARDLEIGH ST,Ardleigh & Haines,27.91906226,NEIGHBORHOOD_PARK,RECREATION_SITE,4,4,8,14,Y,Y,Y,Review the parcel boundaries,193069.48046875,2019.27802061779
14,Fisher Park,Fisher Park,N,Fisher Park,Fisher,,679,572 W SPENCER ST,19120,6000 N 05TH ST,"571 W SPENCER ST;610 W SPENCER ST;6000 N 05TH ST;5th & Nedro",24.49836533,NEIGHBORHOOD_PARK,RECREATION_SITE,3,3,9,35,Y,Y,Y,,169363.03125,1798.57864739545
15,Eastwick Regional Playground,Eastwick Regional Playground,N,Eastwick Regional Playground,Eastwick Regional,,499,7899 MERCURY PL,19153,2500 S 77TH ST,"80TH and MARS PL;2500 S 77TH ST",23.14650897,NEIGHBORHOOD_PARK,RECREATION_SITE,9,8,2,12,Y,Y,Y,,159370.9140625,3781.87753336697
16,Whitby Avenue Playground,Cobbs Creek Park,Y,,Whitby, ,1372,1300 COBBS CREEK PKY,19143,,,5.64603638,NEIGHBORHOOD_PARK,MISC_PARK,8,8,3,12,Y,Y,Y,,38916.484375,949.498194254136
17,29th and Passyunk Park,29th and Passyunk Park,N,,29th and Passyunk , ,432,2827 W PASSYUNK AVE,19145,2827 W PASSYUNK AVE,Newkirk & Passyunk ,0.5560274,NEIGHBORHOOD_PARK,MISC_PARK,9,7,2,1,Y,Y,Y,Owned by PennDOT,3830.2421875,247.032047885141
18,Price Street Play Lot,Price Street Play Lot,N,,Price St, ,826,185 W PRICE ST,19144,177-85 W PRICE ST,177-85 W PRICE ST,0.18084375,POCKET_PARK,MISC_PARK,4,4,8,14,Y,Y,N,,1249.83984375,143.734003094234
19,Sedgley Woods Disc Golf Course,East Fairmount Park,Y,,Sedgley Woods, ,3013,3400 RESERVOIR DR,19121,,,30.45421535,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,7,5,4,22,Y,Y,N,,210135.56640625,1984.37546622561
20,Robert Wilson III Park,Cobbs Creek Park,Y,Robert Wilson III Park,Wilson,61st and Baltimore Ave Playground,3454,6100 BALTIMORE AVE,19143,,,1.16280072,NEIGHBORHOOD_PARK,MISC_PARK,8,8,3,12,Y,Y,Y,ADDRESS_BRT comes from a bigger parcel,8015.1875,360.391789080281
21,Rufus O Williams Memorial Playground,Cobbs Creek Park,Y,Rufus O. Williams Memorial Playground,R Williams,Cobbs Creek Playground,2128,700 COBBS CREEK PKY,19143,,"63rd St and Catherine St, 63rd St and Christian St",3.83114077,NEIGHBORHOOD_PARK,MISC_PARK,8,8,3,18,Y,Y,N,,26413.4296875,817.250366154819
22,Al Pearlman Sports Center,Al Pearlman Sports Center,N,,Pearlman,,1152,600 PORT ROYAL AVE,19128,600 PORT ROYAL AVE,Harner & Port Royal,7.02188644,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,4,4,4,5,Y,Y,N,Land is PWD owned. PPR utilizes this portion of the land.,48566.60546875,889.244284354697
23,Lauretha Vaird Fields,Tacony Creek Park,Y,,Vaird,"Tabor Rams Club;Lauretha Vaird Boys and Girls Club",1890,4800 WHITAKER AVE,19120,,Whitaker & Loudon,6.30822911,NEIGHBORHOOD_PARK,RECREATION_SITE,3,3,7,25,Y,Y,Y,,43583.734375,858.843003786953
24,Torresdale and Enfield Fields,Pennypack Park,Y,,Torresdale and Enfield, ,1370,4600 ENFIELD AVE,19136,,,6.58788571,NEIGHBORHOOD_PARK,MISC_PARK,1,1,6,8,Y,Y,Y,,45538.640625,1309.04110482427
25,Chamounix Tennis Courts,West Fairmount Park,Y,,Chamounix Tennis, ,1827,3601 CHAMOUNIX DR,19131,3401 W GIRARD AVE,"3687 CHAMOUNIX DR;3250 CHAMOUNIX DR",4.16764054,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,7,5,4,16,N,Y,N,,28774.60546875,1281.84781744333
26,Smith Memorial Playground and Playhouse,East Fairmount Park,Y,,Smith Memorial, ,1955,3418 SMITH MEMORIAL DR,19121,,"3500 RESERVOIR DR, 33rd & Oxford",4.58907699,NEIGHBORHOOD_PARK,RECREATION_SITE,7,5,4,22,Y,Y,Y,,31667.8125,730.793017830408
27,Garland and Bingham Fields,Tacony Creek Park,Y,,Garland and Bingham,Tabor and Garland Play Area,1368,620 GARLAND ST,19120,5153 E TABOR RD,"Tabor & Garland; 5153 E TABOR RD",3.48388091,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,3,3,9,2,Y,Y,N,,24077.84765625,825.642883055371
