X,Y,OBJECTID,AMENITY_NAME,PARK_NAME,ADDRESS_911,ZIP_CODE,POOL_TYPE,POOL_STATUS,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-75.0823161696739,40.073673391403,1,Fox Chase Pool,Fox Chase Recreation Center,7901 RIDGEWAY ST,19111,OUTDOOR,ACTIVE,,,Programs 2021
-74.9914262670816,40.0682964825844,2,Mitchell Pool,Thomas Mitchell Playground,3600 WHITEHALL LN,19114,OUTDOOR,ACTIVE,2012/01/01 00:00:00+00,,Programs 2021
-75.0759007033235,40.0562942722532,3,Jardel Pool,Thomas E Jardel Memorial Field,1400 COTTMAN AVE,19111,OUTDOOR,ACTIVE,,,Programs 2021
-75.0028365113301,40.0526641691895,4,Jacobs Pool,George Jacobs Playground,4500 LINDEN AVE,19136,OUTDOOR,ACTIVE,,,Programs 2021
-75.1464146696899,40.049919127332,5,Morris Estates Pool,Morris Estate Cultural Center,1610 CHELTEN AVE,19141,OUTDOOR,INACTIVE,,Emergency access is from Chelten around the building.,Programs 2021
-75.1017018728789,40.0460859924755,6,Lawncrest Pool,Lawncrest Recreation Center,459 COMLY ST,19111,OUTDOOR,INACTIVE,,Swim Philly,Programs 2021
-75.0398381331503,40.0426492780674,7,Lincoln Indoor Pool Building,Lincoln Indoor Pool,7437 ROWLAND AVE,19136,INDOOR,INACTIVE,,Owned by School District of Philadelphia,Aquatics 2021
-75.1563142503793,40.0423302511261,8,Belfield Pool,Belfield Recreation Center,2112 CONLYN ST,19138,OUTDOOR,INACTIVE,,Emergency access is from Conlyn up the driveway.,Programs 2021
-75.0716632379298,40.0386152206451,9,Max Myers Pool,Max Myers Playground,1805 HELLERMAN ST,19149,OUTDOOR,ACTIVE,2018/01/01 00:00:00+00,Emergency access is from the stairs between tennis and baseball fields on Hellerman st,Programs 2021
-75.1532482111095,39.9156977342004,10,Murphy Pool,Lawrence E Murphy Recreation Center,2614 S 3RD ST,19148,OUTDOOR,ACTIVE,,Emergency access along walkway to gate.,Programs 2021
-75.1788696867575,39.9153702816091,11,Barry Pool,Commodore John Barry Playground,2836 S 18TH ST,19145,OUTDOOR,ACTIVE,,Emergency access from walkway between recreation buildings at S 18th St and Barbara St .,Programs 2021
-75.0971784949114,39.9908505371338,12,Samuel Pool,Bernard Samuel Playground,3539 GAUL ST,19134,OUTDOOR,ACTIVE,,,Programs 2021
-75.1330858791679,39.9884411751162,13,Waterloo Pool,Waterloo Playground,2538 WATERLOO ST,19133,OUTDOOR,INACTIVE,2020/07/01 00:00:00+00,Renovated in 2020 (Rebuild),Programs 2021
-75.1872389530805,39.9896915280611,14,Mander Pool,Joseph E Mander Playground,2142 N 33RD ST,19132,OUTDOOR,ACTIVE,2016/01/01 00:00:00+00,Located within East Fairmount Park,Programs 2021
-75.174705043453,39.9874237422625,15,Gathers Pool,Eric W (Hank) Gathers Jr Recreation Center,2517 DIAMOND ST,19121,OUTDOOR,INACTIVE,,,Programs 2021
-75.1372061594158,40.0375551322213,16,Cherashore Pool,A Albert Cherashore Playground,933 W OLNEY AVE,19141,OUTDOOR,ACTIVE,,,Programs 2021
-75.1181281481325,40.0335037078716,17,Ziehler Pool,Charles J Ziehler Playground,5530 B ST,19120,OUTDOOR,INACTIVE,,Emergency access through fence gate in front of building.,Programs 2021
-75.2288229991445,40.033837750419,18,Hillside Pool,Hillside Recreation Center,201 FOUNTAIN ST,19127,OUTDOOR,INACTIVE,,,Programs 2021
-75.2114869665024,40.0297286466515,19,Kendrick Pool,W Freeland Kendrick Recreation Center,5890 RIDGE AVE,19128,OUTDOOR,ACTIVE,,"Enclosed with brick, not chainlink",Programs 2021
-75.1210600915598,40.0218806900343,20,Feltonville Pool,Feltonville Recreation Center,4727 ELLA ST,19120,OUTDOOR,ACTIVE,,,Programs 2021
-75.0540197138007,40.0182907623811,21,American Legion Pool,American Legion Playground,4819 DEVEREAUX AVE,19135,OUTDOOR,ACTIVE,2016/01/01 00:00:00+00,Emergency access is through basketball court.,Programs 2021
-75.1431226514804,40.0177124520459,22,Hunting Pool,Hunting Park Recreation Center,1101 W HUNTING PARK AVE,19140,OUTDOOR,INACTIVE,,Emergency access is next to Hunting Park Recreation Center,Programs 2021
-75.1522563178939,39.9860275257253,23,Penrose Pool,Penrose Memorial Playground,1145 W SUSQUEHANNA AVE,19133,OUTDOOR,ACTIVE,,Emergency access is through site's main gate.,Programs 2021
-75.1127841525307,39.9839225268598,24,Cohocksink Pool,Cohocksink Recreation Center,2901 CEDAR ST,19134,OUTDOOR,INACTIVE,,Emergency access is through site's main gate.,Programs 2021
-75.1603567730691,39.9813461693286,25,Amos Pool,Fletcher B Amos Playground,1835 N 16TH ST,19121,OUTDOOR,INACTIVE,2013/01/01 00:00:00+00,,Programs 2021
-75.1188766071607,39.9796210812699,26,Cione Pool,Frederick Cione Playground,2608 ARAMINGO AVE,19125,OUTDOOR,ACTIVE,2016/01/01 00:00:00+00,,Programs 2021
-75.1703450595903,39.9810880682284,27,Martin Luther King Pool,Dr Martin Luther King Jr Recreation Center,1717 N 22ND ST,19121,OUTDOOR,ACTIVE,2014/01/01 00:00:00+00,,Programs 2021
-75.2078787246542,39.9791028432977,28,Kelly Pool,Kelly Pool,4216 LANSDOWNE DR,19131,OUTDOOR,ACTIVE,,,Programs 2021
-75.1784304041476,39.9771597472071,29,Athletic Pool,Athletic Recreation Center,1410 N 26TH ST,19121,OUTDOOR,ACTIVE,,,Programs 2021
-75.2130265741042,39.9791498145536,30,Carousel House Pool,Carousel House Recreation Center,4620 AVENUE OF THE REPUBLIC,19131,INDOOR,INACTIVE,,,Aquatics 2021
-75.1505436669435,39.9761258440987,31,Dendy Pool,Marie Dendy Recreation Center,960 W OXFORD ST,19122,OUTDOOR,INACTIVE,2016/01/01 00:00:00+00,,Programs 2021
-75.1294173430111,40.0020620191966,32,Schmidt Pool,John (Steve) Schmidt Playground,113 W ONTARIO ST,19140,OUTDOOR,ACTIVE,,,Programs 2021
-75.1086871568872,40.0008517760674,33,Scanlon Pool,Joseph A Scanlon Playground,3510 J ST,19134,OUTDOOR,ACTIVE,,,Programs 2021
-75.1748065901649,40.0017468267256,34,Shuler Pool,James Allen Shuler Playground,3030 N 27TH ST,19132,OUTDOOR,INACTIVE,,Emergency access is through site's main gate.,Programs 2021
-75.1213539608156,40.0003065585067,35,McVeigh Pool,Sergeant John J McVeigh Recreation Center,3390 D ST,19134,OUTDOOR,INACTIVE,,Emergency access is from D St entrance to Recreation Center.,Programs 2021
-75.0677037764863,39.9993844503402,36,Bridesburg Pool,Bridesburg Recreation Center,2825 BUCKIUS ST,19137,OUTDOOR,ACTIVE,2015/01/01 00:00:00+00,Emergency access is between tennis court and basketball court.,Programs 2021
-75.0986358922688,39.9975060137331,37,Heitzman Pool,Robert T Heitzman Recreation Center,3645 AMBER ST,19134,OUTDOOR,ACTIVE,,Emergency access is next to Robert T. Heitzman Recreation Center,Programs 2021
-75.1496397898155,39.9966222160025,38,12th and Cambria Pool,12th and Cambria Playground,1135 W CAMBRIA ST,19133,OUTDOOR,INACTIVE,2011/01/01 00:00:00+00,Emergency access from ramp next to baseball diamond,Programs 2021
-75.1678352627872,39.993138981284,39,Cecil B. Moore Pool,Cecil B Moore Recreation Center,2165 W SEDGLEY AVE,19132,OUTDOOR,ACTIVE,2018/01/01 00:00:00+00,,Programs 2021
-75.2318128124167,39.9149740713165,40,John J Whalen Memorial Pool,J Francis Finnegan Playground,2799 S 69TH ST,19142,OUTDOOR,ACTIVE,,Emergency access along walkway past recreation building and playground. ,"Programs 2021, Name-1991 Ordinance (Bill 1040) "
-75.0974039018867,40.0120237505846,41,Piccoli Pool,Boniface Piccoli Playground,4301 CASTOR AVE,19124,OUTDOOR,INACTIVE,2017/01/01 00:00:00+00,,Programs 2021
-75.1974250961286,39.9360589487674,42,Stinger Square Pool,Jacob Stinger Park,1498 S 32ND ST,19146,OUTDOOR,ACTIVE,,,Programs 2021
