OBJECTID,area,facilityNum,facilityArea,trailMiles,picnicTable,swimmingPoolNum,spraygroundNum,hydrationNum,tennisCourtNum,playgroundNum,treeHeight,programNum,permitNum,programCap,permitCap
"6",2064.11757786,75,26006.74609375,82428.1722550456,70,0,1,3,3,4,58.5,0,0,0,0
"7",1269.28220772,169,134110.77734375,42527.2129416184,131,1,1,7,123,7,40.7333333333333,0,204,0,525
"8",1367.41374941,31,13677.08984375,57577.1717729268,47,0,0,1,0,6,50.4347826086956,0,3,0,25
"9",649.6824228,105,124867.96484375,21820.9255313677,51,1,1,12,55,6,34.7450980392157,0,52,0,135
"10",316.73830958,8,8364.625,2972.21371366447,2,0,1,1,0,3,39.1025641025641,0,0,0,0
"11",348.60366257,22,14351.2421875,5729.29650906692,65,0,0,2,120,1,28.5,0,188,0,1267
"12",76.46691531,10,2924.0859375,0,20,0,0,1,21,3,40.2857142857143,0,0,0,0
"13",27.91895059,1,1507.44140625,0,7,1,1,1,78,2,37.4285714285714,0,18,0,250
"14",24.49826734,1,502.90625,0,11,0,0,0,6,2,49.3333333333333,0,0,0,0
"15",23.14641638,1,893.19921875,0,0,0,1,0,14,2,23.3333333333333,138,4,82.5666666666667,52
"33",1.53912457,0,0,0,2,0,1,0,0,1,0,0,0,0,0
"38",0.21888515,1,53.08984375,0,0,0,0,0,0,1,0,0,0,0,0
"61",180.49905658,5,613.84765625,4562.0921500556,15,0,0,0,0,0,22.2352941176471,0,30,0,885
"62",119.99814952,32,3777.93359375,348.015506671051,34,0,0,0,0,0,0,0,0,0,0
"63",127.50421411,4,639.4453125,6553.26352654471,0,0,1,1,0,2,29.9411764705882,0,0,0,0
"68",65.3787993,4,591.375,1530.26864403991,0,0,0,0,0,0,42.2222222222222,0,53,0,380
"71",61.71926746,0,0,0,8,0,0,0,0,0,43.5,0,0,0,0
"74",50.02608618,15,5150.14453125,3891.01931585143,23,0,0,1,0,1,29.6,0,0,0,0
"75",42.63252407,3,1486.8828125,0,12,0,1,0,3,1,34.3333333333333,0,0,0,0
"76",42.61911228,4,956.4765625,0,12,0,0,0,6,2,37.75,0,6,0,73
"77",37.28503739,0,0,1350.33443060801,0,0,0,0,0,0,50,0,0,0,0
"78",33.80214682,0,0,3551.31605741036,0,0,0,0,0,0,34.6666666666667,0,0,0,0
