GEOID,population
"421010149003",734
"421010305012",2416
"421010110004",1551
"421010318004",895
"421010315022",939
"421010008034",376
"421010169011",1274
"421010012014",897
"421010372001",755
"421010362021",1159
"421010294001",876
"421010115001",1156
"421010071021",894
"421010212002",1171
"421010028022",1303
"421010376001",855
"421010286002",299
"421010084003",414
"421010180012",1263
"421010300002",880
"421010176021",1745
"421010310004",1194
"421010289011",1889
"421010101005",455
"421010179003",1185
"421010001001",1910
"421010290003",3372
"421010169022",690
"421010372004",1564
"421010019002",1647
"421010210003",1143
"421010028023",936
"421010134023",1626
"421010147002",1616
"421010042013",899
"421010341003",996
"421010027012",1232
"421010172022",1026
"421010164001",1081
"421010100002",1193
"421010180011",1006
"421010248002",1354
"421010314011",2284
"421010109001",1106
"421010040011",1354
"421010136022",1391
"421010379002",732
"421010337012",976
"421010158004",809
"421010067002",744
"421010202002",597
"421010359001",2815
"421010266001",880
"421010040012",887
"421010175003",1191
"421010013004",1183
"421010195023",422
"421010071025",953
"421010074004",1618
"421010074003",1122
"421010298003",519
"421010195012",1788
"421010012025",732
"421010064002",1391
"421010174001",1490
"421010356021",1286
"421010010023",1258
"421010013003",621
"421010263013",791
"421010378002",443
"421010190002",2046
"421010085004",477
"421010164004",1316
"421010256002",723
"421010330002",763
"421010102003",1312
"421010365011",1948
"421010201023",1002
"421010365013",988
"421010262004",1198
"421010372002",1688
"421010300003",1391
"421010110002",709
"421010207002",1028
"421010320005",956
"421010388003",689
"421010372003",695
"421010257001",1993
"421010119001",1436
"421010133002",1135
"421010039022",893
"421010106001",759
"421010030022",710
"421010314014",880
"421010062002",1415
"421010137005",1297
"421010209001",847
"421010357012",2720
"421010166001",1723
"421010277005",409
"421010063003",1119
"421010122031",633
"421010104001",696
"421010149004",420
"421010078001",1136
"421010095003",346
"421010210005",1231
"421010301003",838
"421010329002",623
"421010252007",1371
"421010261002",989
"421010316005",858
"421010178001",989
"421010033002",885
"421010195021",1157
"421010168003",654
"421010314022",1685
"421010267002",403
"421010345022",2614
"421010336004",1276
"421010313003",1209
"421010200001",364
"421010004021",1881
"421010271002",1057
"421010302004",1898
"421010380001",1135
"421010311011",1697
"421010018002",2212
"421010362014",1097
"421010007002",1665
"421010080002",721
"421010282003",1935
"421010078002",430
"421010188001",1324
"421010362023",1538
"421010379001",367
"421010031005",764
"421010157002",974
"421010379005",613
"421010042024",951
"421010135004",1923
"421010266006",814
"421010032001",780
"421010308002",1243
"421010192002",1438
"421010317005",1124
"421010331024",1218
"421010377002",2085
"421010024004",676
"421010202006",1125
"421010218002",2300
"421010286006",970
"421010041022",3257
"421010320003",1127
"421010081025",634
"421010300005",779
"421010273005",1800
"421010213003",1017
"421010253001",1360
"421010377003",650
"421010028025",1017
"421010118003",1186
"421010276001",1531
"421010331011",1572
"421010289021",1560
