placekey,naics_code,location_name,parkLat,parkLng
zzw-222@628-pfv-ghq,712190,Cliveden Park," 40.038884","-75.191277"
zzw-222@63s-dw2-jsq,711310,Papa Playground," 39.974532","-75.258228"
zzz-222@628-p77-bp9,712190,Fairmount Drainage Right Of Way," 40.065487","-74.984842"
zzz-222@628-p8h-rkz,712190,Disston Park," 40.019386","-75.047319"
zzz-222@628-pp2-5j9,713990,Stokely Playground," 39.982317","-75.107275"
zzz-222@628-pgg-h89,712190,Reyburn Park," 39.994897","-75.164746"
zzz-222@628-pgm-3wk,712190,Innyard Park," 40.009017","-75.195094"
zzz-222@628-pfv-mff,712190,CarpenterS Woods Park," 40.048983","-75.199804"
zzz-222@628-pfz-bkz,713990,Venice Island Playground," 40.023749","-75.222427"
zzw-225@628-pgb-d9z,453920,Ben Franklin Parkway," 39.960432","-75.173288"
zzz-222@628-pp5-h3q,712190,Powers Park," 39.982648","-75.108904"
zzy-222@628-pft-g6k,712190,Kitchens Lane Dog Run," 40.036067","-75.204277"
zzz-222@628-phz-nwk,712190,Ramblers Ballfield," 40.002327","-75.113076"
zzz-222@628-p75-tvz,712190,Pennypack On The Delaware," 40.027531","-75.012139"
zzz-222@628-pm4-zs5,712190,Ridgway Pool," 39.939337","-75.16453"
zzz-222@628-php-btv,712190,Dorothy Emanuel Recreation And Teen Center," 40.081501","-75.176267"
zzz-222@628-pm5-skf,712190,Murphy Recreation Center," 39.915576","-75.153717"
zzw-222@628-pm8-ghq,711211,Citizens Bank Park," 39.903905","-75.176577"
zzz-222@628-pj9-qpv,712190,Shevchenko Park," 40.034452","-75.145366"
zzy-222@628-pgm-4sq,624120,Mcdevitt Recreation Center," 40.008888","-75.187919"
zzz-222@628-p8b-dvz,713990,American Legion Playground," 40.0187","-75.054428"
zzw-223@628-pg8-yy9,713990,Strawberry Green Driving Range," 39.980801","-75.189167"
zzz-223@628-pgf-y9z,712190,Philadelphia Zoological Gardens," 39.971993","-75.196662"
zzw-222@628-pjf-nh5,713940,Water Tower Rec Center," 40.075663","-75.200665"
zzz-222@63s-dvx-yqf,712190,Bartrams Mile," 39.937944","-75.20618"
zzz-222@628-pm4-49z,712190,Weinberg Park," 39.921258","-75.156574"
zzz-222@628-p9t-q2k,712190,Fairmount Drainage Right Of Way," 40.092646","-74.982449"
zzz-222@628-pm9-2zf,712190,Mollbore Ter 1032," 39.915413","-75.165932"
zzz-222@628-pgh-ysq,713990,11Th and Columbia Playground," 39.978505","-75.151819"
zzz-222@628-pj5-jqf,713990,Reed Playground," 40.002459","-75.133319"
223-222@628-pg6-9mk,713110,Allen's Lane Playground," 40.051729","-75.20324"
zzz-222@628-pg2-389,712190,Boone Park," 40.025935","-75.219154"
zzz-222@628-pnx-btv,712190,Lederer Pool," 39.972221","-75.127181"
zzz-222@628-pp5-7t9,712190,Norris Square," 39.982771","-75.134877"
zzz-222@628-pm9-wp9,712190,Commerce Street Walk," 39.950569","-75.146379"
zzz-222@628-p8h-mff,712190,Disston Recreation Center," 40.028056","-75.044532"
zzz-222@63s-dvq-6x5,712190,Malcolm X Memorial Park," 39.952186","-75.225481"
zzz-222@628-pp5-5s5,713990,Towey Playground," 39.978502","-75.135085"
zzz-222@628-pg8-zpv,713990,Jefferson Playground," 39.979587","-75.184653"
zzz-222@628-p8h-dd9,712190,Princeton Avenue Boat Launch," 40.020173","-75.032952"
zzz-222@628-pgr-nqz,712190,Ottinger Tract," 40.045629","-75.25264"
zzz-222@628-pm5-249,712190,Hawthorne Park," 39.940639","-75.162938"
zzz-222@628-pmd-rhq,712190,Fitler Square," 39.947623","-75.179848"
zzw-222@628-php-s89,624410,Simons Recreation Center," 40.060854","-75.15814"
zzz-222@628-pmb-cbk,712190,Palumbo Park," 39.939444","-75.15553"
zzz-222@628-pg8-wkz,712190,33Rd and Oxford Driving Range," 39.979918","-75.190263"
zzz-222@628-pnw-jvz,713990,Tip Top Playground," 39.966818","-75.137172"
zzz-222@628-pg3-wp9,713990,Morton Playground," 40.040289","-75.174314"
zzz-222@628-p8d-vzz,713990,Carmella Playground Whitehall," 40.011584","-75.073643"
zzz-222@628-p7z-q75,712190,Tarken Recreation Center," 40.040065","-75.082351"
zzz-222@628-pfx-q9f,712190,Hillside Recreation Center," 40.033443","-75.229888"
zzz-222@628-pj5-6x5,713990,12Th and Cambria Playground," 39.996658","-75.149469"
zzz-222@628-pj5-59f,712190,Ross Park," 39.999281","-75.14666"
zzz-222@628-p79-9s5,712190,Glen Foerd," 40.051584","-74.978978"
zzz-222@628-pp5-g49,712190,Cohocksink Recreation Center," 39.984382","-75.112431"
zzz-222@628-pm7-nnq,713990,Wharton Square Playground," 39.935563","-75.182749"
zzz-222@628-pfy-wff,712190,La Noce Park," 40.017806","-75.21078"
zzz-222@628-pnz-xkf,713990,Frank Glavin Playground," 39.98634","-75.101489"
zzz-222@628-pg8-hyv,713940,Athletic Recreation Center," 39.977468","-75.178788"
zzz-222@628-pgf-sdv,712190,James L Wright Recreation Center," 39.963896","-75.191185"
zzz-222@628-pgh-4vz,713990,Jerome Brown Playground," 40.006215","-75.161333"
zzz-222@628-pmb-2c5,713990,Weccacoe Playground," 39.938044","-75.150738"
zzz-222@628-pg9-9pv,712190,Martin Luther King Recreation Center," 39.98094","-75.169897"
zzz-222@628-pgj-2x5,712190,Dendy Recreation Center," 39.975799","-75.150885"
zzz-222@628-p7x-tqf,712190,Bradford Park," 40.04978","-75.053676"
zzz-222@628-php-s89,712190,Simons Youth Center and Teen Center," 40.061094","-75.158327"
zzz-222@628-pj3-j7q,712190,Kay Park," 40.022195","-75.166737"
zzz-222@628-p7b-hwk,713990,Holme Playground," 40.056392","-75.010261"
zzz-222@628-pj5-hnq,713990,Schmidt Playground," 40.001935","-75.129479"
zzz-222@628-p82-n3q,713990,Max Myers Playground," 40.038586","-75.070091"
zzz-222@628-pmc-pgk,712190,Jefferson Square," 39.933503","-75.1499"
zzz-222@628-pp2-4d9,713990,Monkiewicz Playground," 39.982979","-75.100752"
zzz-222@628-p9s-bc5,712190,Daniel Boyle Recreation Center," 40.122721","-75.00794"
zzz-222@63s-dvr-d7q,712190,Connell Park," 39.923387","-75.230107"
zzz-222@628-p9v-xwk,712190,Gifford Playground," 40.114966","-75.025244"
zzz-222@628-pp4-z2k,713990,Maguire Playground," 39.991673","-75.13295"
zzz-222@628-pmc-nnq,713990,Shot Tower Playground," 39.934804","-75.14597"
zzz-222@628-pgk-pgk,712190,Woodside Park," 40.002087","-75.208568"
226-222@628-p7w-f75,713990,Solly Stables," 40.073111","-75.069111"
zzy-222@628-pjj-qcq,713990,Courtesy Stable," 40.067619","-75.230771"
zzz-222@628-pnx-bhq,712190,Fishtown Recreation Center," 39.971625","-75.128286"
zzz-222@63s-dvx-cyv,713990,Mill Creek Playground," 39.965656","-75.215949"
zzz-222@628-pgb-ht9,713940,Von Colln Field," 39.963495","-75.176527"
zzw-222@628-pp5-6p9,712190,Hagert Playground," 39.983432","-75.127915"
zzz-222@63s-dvr-v4v,712190,BartramS Mile," 39.9285","-75.212258"
zzw-222@628-p7z-3dv,713910,Burholme Park Driving Range," 40.068047","-75.092444"
zzz-222@628-pg6-5pv,712190,Dodge Tract," 40.059437","-75.210663"
zzz-222@628-pfx-grk,713990,Kelly Park Playground," 40.041449","-75.228169"
zzz-222@63s-dvx-w8v,712190,Clarence H Clark Park," 39.948874","-75.20933"
zzz-222@628-p8h-7dv,713990,Russo Park Playground," 40.030019","-75.034258"
zzz-222@628-pgb-2zf,712190,Logan Square," 39.95782","-75.169353"
zzw-222@628-p9v-gkz,713110,Junod Playground," 40.103455","-74.970255"
zzz-222@63s-dwg-28v,713990,James Finnegan Playground," 39.915234","-75.233099"
zzz-222@628-pm5-2hq,712190,Hawthorne Culture Center," 39.938444","-75.163566"
zzz-222@628-pmf-rp9,712190,Marian Anderson Recreation Center," 39.942041","-75.171289"
zzz-222@628-pm5-p5f,712190,Mollbore Ter 700," 39.914742","-75.16098"
zzz-222@628-pg2-cbk,712190,Lovett Park," 40.056687","-75.187728"
zzz-222@628-pgh-c89,713990,Heritage Park Playground," 40.000555","-75.155594"
zzz-222@63s-dvy-y5f,712190,Garden Court," 39.953214","-75.216503"
zzz-222@628-pgb-3nq,712190,Levy Park," 39.955165","-75.167341"
zzz-222@628-pnw-zfz,713990,East Poplar Playground," 39.966767","-75.15122"
zzz-222@628-pnx-r8v,712190,Benson Park," 39.973457","-75.142725"
zzz-222@628-pgj-mkz,713990,Veterans Playground," 39.989479","-75.146136"
zzw-222@628-pj2-8y9,713990,Ramblers Playground," 40.001454","-75.112435"
zzz-222@628-p85-mff,712190,Mcardle Recreation Center," 40.060541","-75.027005"
zzz-222@628-pgc-mc5,712190,Kelly Pool," 39.97895","-75.207845"
zzz-222@628-pnx-d5f,713990,Hetzell Playground," 39.972182","-75.131074"
zzw-222@628-pgc-q9f,711310,The Mann," 39.983316","-75.22183"
zzz-222@628-pm8-fcq,712190,Barry Playground," 39.915174","-75.178569"
zzz-222@628-pmb-9fz,712190,John F Kennedy Plaza," 39.954201","-75.165725"
zzz-223@628-pmf-mc5,712190,Kopernicus Triangle," 39.956711","-75.16837"
zzz-222@628-pgb-pjv,712190,Yorktown Commons," 39.972798","-75.155849"
zzw-222@628-pnz-xkf,713110,A&w Playground," 39.986474","-75.101449"
zzz-222@628-pj2-g6k,713990,Piccoli Playground," 40.012438","-75.096511"
zzz-222@628-pgc-d35,712190,Carousel House," 39.979049","-75.213449"
zzz-222@628-p6z-py9,713990,Trumbette Playground," 40.049273","-75.003987"
zzz-222@628-pm3-wff,712190,South Philadelphia Older Adults Center," 39.931448","-75.162333"
zzz-222@628-p9s-pvz,712190,Poquessing Creek Park Poquessing," 40.12511","-74.988976"
zzy-222@628-pgb-d7q,712190,Rodin Museum," 39.96186","-75.173858"
zzw-222@628-pft-g6k,713990,Monastery Stable," 40.036091","-75.204281"
zzz-222@628-p9t-grk,712190,Fairmount Drainage Right Of Way," 40.10067","-74.986991"
zzz-222@628-pp2-snq,713990,Heitzman Playground," 39.998005","-75.098464"
zzz-222@628-pnx-rc5,713990,Hart Playground," 39.971689","-75.142408"
zzz-222@628-pjj-v75,713990,Houston Playground," 40.068898","-75.230702"
zzz-222@628-pgj-tjv,712190,Cassiano Park," 39.985699","-75.13944"
