placekey,parkLat,parkLng
222-222@628-pgc-brk," 39.979654","-75.209237"
222-222@628-pgk-9pv," 40.00307","-75.198508"
222-222@628-pgm-jgk," 40.012927","-75.203145"
222-222@628-pjk-rff," 40.083003","-75.232456"
222-223@628-pgk-cbk," 39.99938","-75.201847"
226-222@628-p7w-f75," 40.073111","-75.069111"
226-222@628-phq-5mk," 40.064626","-75.169315"
226-222@628-pjk-qzz," 40.084223","-75.231882"
228-222@628-pnx-psq," 39.9729","-75.137224"
22b-223@628-pfx-ks5," 40.026407","-75.226266"
239-222@63s-dw2-3qz," 39.969137","-75.249962"
zzw-222@628-p7x-2c5," 40.040275","-75.052596"
zzw-222@628-p7x-qj9," 40.042566","-75.039737"
zzw-222@628-p7z-249," 40.068219","-75.088316"
zzw-222@628-p83-mhq," 40.080463","-75.067675"
zzw-222@628-p9n-fmk," 40.080627","-74.98956"
zzw-222@628-p9v-gff," 40.104558","-74.965192"
zzw-222@628-p9v-gkz," 40.103455","-74.970255"
zzw-222@628-pft-g6k," 40.036091","-75.204281"
zzw-222@628-pfv-ghq," 40.038884","-75.191277"
zzw-222@628-pfz-bkz," 40.023473","-75.222205"
zzw-222@628-pg4-swk," 40.033967","-75.157287"
zzw-222@628-pg9-h5z," 39.99089","-75.188804"
zzw-222@628-pg9-tgk," 39.96568","-75.168047"
zzw-222@628-pgc-q9f," 39.983316","-75.22183"
zzw-222@628-pgd-xh5," 39.965075","-75.190596"
zzw-222@628-php-qpv," 40.06198","-75.157292"
zzw-222@628-php-s89," 40.060854","-75.15814"
zzw-222@628-phq-6kz," 40.053416","-75.16525"
zzw-222@628-pj2-8y9," 40.001454","-75.112435"
zzw-222@628-pj2-g6k," 40.01243","-75.096508"
zzw-222@628-pj5-6x5," 39.996619","-75.149451"
zzw-222@628-pj5-sqz," 40.015796","-75.141272"
zzw-222@628-pj6-9pv," 40.033108","-75.113101"
zzw-222@628-pjf-nh5," 40.075663","-75.200665"
zzw-222@628-pm4-fpv," 39.922994","-75.172765"
zzw-222@628-pm4-r8v," 39.927483","-75.151752"
zzw-222@628-pm7-mx5," 39.936022","-75.183789"
zzw-222@628-pm7-rtv," 39.925966","-75.18718"
zzw-222@628-pm8-ghq," 39.903905","-75.176577"
zzw-222@628-pmb-cdv," 39.941223","-75.15872"
zzw-222@628-pnt-f75," 39.978235","-75.097295"
zzw-222@628-pnz-xkf," 39.986474","-75.101449"
zzw-222@628-pp4-mc5," 39.983863","-75.123605"
zzw-222@628-pp5-6p9," 39.983432","-75.127915"
zzw-222@63s-dvw-dqf," 39.968063","-75.223251"
zzw-222@63s-dvx-cyv," 39.966167","-75.215602"
zzw-222@63s-dw2-8qf," 39.960013","-75.247708"
zzw-222@63s-dw2-jsq," 39.974532","-75.258228"
zzw-222@63s-dwf-nyv," 39.908542","-75.249103"
zzw-223@628-pgc-g6k," 39.9874","-75.211723"
zzw-223@628-pmb-cnq," 39.940682","-75.155395"
zzw-223@628-pp2-75z," 39.986382","-75.101218"
zzy-222@628-p86-c89," 40.073034","-75.081325"
zzy-222@628-p8t-qmk," 40.080406","-74.973216"
zzy-222@628-p9s-ffz," 40.122684","-75.006983"
zzy-222@628-pft-g6k," 40.036067","-75.204277"
zzy-222@628-pg8-r6k," 39.98642","-75.197343"
zzy-222@628-pgm-4sq," 40.008888","-75.187919"
zzy-222@628-pj7-s3q," 40.027741","-75.04922"
zzy-222@628-pjj-qcq," 40.067619","-75.230771"
zzy-222@628-pm6-gff," 39.919637","-75.156374"
zzy-222@628-pmc-q9f," 39.930762","-75.148597"
zzy-222@63s-dvw-dn5," 39.967159","-75.22253"
zzy-222@63s-dvx-xqz," 39.948989","-75.210169"
zzy-222@63s-dwd-kxq," 39.898521","-75.179531"
