FacilityID,Facility,ProgramID,ActvityTypeCategory,ActivityType,Gender,AgeLow,AgeHigh,AttendanceWeekDate,RegisteredIndividualsCount,UniqueIndividualCount,ProgramScheduleID,DateFrom,DateTo,weekday,AttendenceRealDate
{C8420FF3-289F-4737-A4F5-FF44DE89CA58},McVeigh Recreation Center,300,After School,After School,M/F,6,12,2021/12/27,21,0,8348,2021/09/13,2022/05/27,Monday,2021/12/27
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,4800,Athletic,Gymnastics / Tumbling,M/F,3,5,2021/12/13,12,12,8883,2021/12/06,2022/02/26,Thursday,2021/12/16
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1144,Athletic,Gymnastics / Tumbling,F,9,15,2021/12/13,12,12,8882,2021/12/06,2022/02/26,Saturday,2021/12/18
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1152,Athletic,Gymnastics / Tumbling,F,8,18,2021/12/13,20,20,8880,2021/12/06,2022/02/26,Monday,2021/12/13
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1146,Athletic,Gymnastics / Tumbling,F,8,14,2021/12/13,8,8,8877,2021/12/06,2022/02/26,Tuesday,2021/12/14
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,412,Athletic,Gymnastics / Tumbling,M/F,3,4,2021/12/13,10,10,8875,2021/12/06,2022/02/26,Monday,2021/12/13
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1157,Athletic,Gymnastics / Tumbling,M/F,8,18,2021/12/13,12,12,8873,2021/12/06,2022/02/26,Tuesday,2021/12/14
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1145,Athletic,Gymnastics / Tumbling,M/F,18,36,2021/12/13,12,12,8872,2021/12/06,2022/02/26,Wednesday,2021/12/15
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,4799,Athletic,Gymnastics / Tumbling,M/F,18,99,2021/12/13,10,10,8871,2021/12/06,2022/02/26,Tuesday,2021/12/14
{65FDE44A-69BC-433C-8AD9-109921607BDE},Simons Center,114,Educational,Educational,F,9,13,2021/12/13,3,2,8458,2021/09/22,2022/06/01,Wednesday,2021/12/15
