X,Y,OBJECTID,ASSET_NAME,SITE_NUMBE,PSPACETYPE,CAPACITY,DSCRIPTION,DPP_ASSET_,SPACE_GLOBAL_ID
-75.1657263230642,39.9542159004751,1,John F. Kennedy Plaza,1,Park A Site,100, ,205,{f8597a71-2e41-4d50-a6d8-156cd6b70d36}
-75.1873963242472,39.9694444491505,2,Boathouse Row,1,Route,100, ,1713,{95ba9690-659e-473c-8841-c3cda4dafce1}
-75.1785230592979,39.9638047119788,3,Eakins Oval,1,Park A Site,100, ,1850,{9016010e-91c0-48ed-94f0-2899fd1810c3}
-75.1718079500377,39.9579596694892,4,Aviator Park,1,Neighborhood Park,100, ,2817,{0ee268e5-a069-4e51-adab-b284f515e637}
-75.209865449161,39.9894969849636,5,Belmont Plateau cross country trail,1,Route,100, ,1818,{25064f13-d380-40cd-8902-a2aebfbefd43}
-75.103386455559,39.9862728519138,6,Campbell Square Park,1,Neighborhood Park,100, ,1128,{6370e6e9-94c3-46da-95e9-ebb0e7bc767e}
-75.2222244395619,40.0234925754812,7,Venice Island Theater,1,Theatre,250, ,3448,{105913e4-6532-4cfa-82a4-e54ca8e92756}
-75.2222244395619,40.0234925754812,8,Venice Island Multipurpose room 1,1,Multipurpose Room,50, ,3448,{478d93c0-fd06-4cf8-b24d-830fff04d72e}
-75.2222244395619,40.0234925754812,9,Venice Island Multipurpose room 2,2,Multipurpose Room,50, ,3448,{674a19b0-ab49-44a6-ada0-0a6b60968481}
-75.1889266458189,39.9830981746817,10,33rd & Cecil B. Moore Picnic Site 2,2,Picnic Site,50, ,1713,{c21625b4-875c-4e39-9f86-9811c7c70cc7}
-75.2154322474567,39.9919297952408,11,Belmont Grove picnic pavillion 2,2,Grove Picnic Pavilion,250, ,3630,{86a4be57-895b-45c2-86a7-fa8efc885cc8}
-75.2150010225659,39.9925446106335,12,Belmont Grove picnic pavillion 1,1,Grove Picnic Pavilion,250, ,3630,{42ce3983-f67c-43b2-b1c4-bb3bc68bf458}
-75.1816556271419,39.9038128874546,13,FDR Park Boathouse pavillion,1,Picnic Pavilion,120, ,231,{d8f5a415-f295-42c9-a361-ef5d441989bc}
-75.2061307266668,39.9994575055773,14,Ford road picnic pavillion,1,Picnic Pavilion,120, ,2899,{bf9e0435-3aeb-488a-8c0d-279fa0ce4050}
-75.2216465168704,40.0365265640073,15,Gorgas Park pavillion,1,Picnic Pavilion,120, ,803,{ac5b63c0-ace2-4d52-b130-f0ac3ea93515}
-75.2254252380042,39.9526766295478,16,Malcolm X Memorial Park picnic pavillion,1,Picnic Pavilion,120, ,182,{e7607c27-1856-4a67-932e-ded9951f857c}
-75.1690089659653,40.0196203545557,17,Fernhill Park picnic pavilion 2,2,Picnic Site,50, ,833,{cfadca9c-518f-442b-bde2-4739420d7292}
-75.1695557190961,40.0193118459568,18,Fernhill Park picnic site 3,3,Picnic Site,50, ,833,{79789e40-8c5e-4857-91f1-0d34500b8fb3}
-75.1958204660324,40.0320243692612,19,Blue Bell Area picnic site 3,3,Picnic Site,50, ,1311,{c201aa96-dfcb-4c0a-b33b-53d14e8c4cef}
-75.1954106590302,40.031558788703,20,Blue Bell Area picnic site 2,2,Picnic Site,50, ,1311,{39ac9377-954a-49df-a691-37936d4aaab5}
-75.1952520407836,40.0312418252629,21,Blue Bell Area picnic pavilion,1,Picnic Site,50, ,1311,{3511a439-53c2-4505-9dd9-63fce74ffc4f}
-75.1949513634237,40.0307321109207,22,Blue Bell Area picnic site 4,4,Picnic Site,50, ,1311,{724f8647-3a71-448f-a3f7-8a24309dd901}
-75.1952272297606,40.0306086410066,23,Blue Bell Area picnic site 5,5,Picnic Site,50, ,1311,{f50b3904-3307-4cd3-b348-7d8a939d8f85}
-75.1951259017669,40.0304205475016,24,Blue Bell Area picnic site 6,6,Picnic Site,50, ,1311,{a7002790-4cc7-46f7-a07f-f315fce51016}
-75.2033412035628,40.0220993732703,25,David Montgomery Field picnic site 1,1,Picnic Site,50, ,3065,{16277d93-d477-4212-9bba-94ad51632c3e}
-75.2158838021607,40.0458293413128,26,Pachella Memorial Fields picnic pavillions,1,Picnic Pavilion,50, ,1925,{e85df7a7-7ad9-4846-82ea-68afe87768cf}
-75.2204436019078,40.0588913510744,27,Wissahickon Valley Park Wises Mill Road picnic site 2,2,Picnic Site,50, ,1357,{7925ac26-2697-4705-af2c-b81433b997e6}
-75.1547764008157,40.0318269571728,28,Wister's Woods Park picnic site 1,1,Picnic Site,50, ,875,{13f66de5-5985-471f-8393-a0db0e16ea04}
