X,Y,OBJECTID,PARK_NAME,AGE_RANGE,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-75.0498874028574,40.0282926661409,1,Joseph F Vogt Playground,5_12_YEARS,2008/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.0628791811814,40.016068294458,2,Victor J Moss Memorial Field,5_12_YEARS,2019/10/01 00:00:00+00,Installed during renovations 10/2019,"Pictometry 2020,Capital Drawings"
-75.2100764028395,39.9422850736278,3,48th and Woodland Playground,5_12_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.0763048699927,40.0142394980842,4,William (Billy) Gambrel Playground,5_12_YEARS,2009/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1236168485949,39.9944888364794,5,Marian Winfield Hissey Recreation Center,5_12_YEARS,2016/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1988296685942,39.9733075284736,6,Clayborne and Lewis Playground,5_12_YEARS,2004/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.011820946871,40.0560715711442,7,Thomas Holme School Playground,5_12_YEARS,2015/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.167215095532,39.9688833390501,8,Francisville Recreation Center,5_12_YEARS,2012/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1010689293192,40.0459092019909,9,Lawncrest Recreation Center,5_12_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-74.9744272031744,40.079447439046,10,Corporal Jimmy OConnor Memorial Playground,5_12_YEARS,2012/01/01 00:00:00+00,Formerly Chalfont Playground,Pictometry 2021
-75.0345876256812,40.0300171789308,11,Charles A Russo Playground,5_12_YEARS,2012/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1193375335742,39.9951185138029,12,McPherson Square,2_5_YEARS,2012/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1423264192288,39.9716583424125,13,Thomas Hart Park,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1510580833714,39.9558615114041,14,Franklin Square,5_12_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1372472907824,39.9724698832745,15,Hancock Playground,5_12_YEARS,2020/08/01 00:00:00+00,,"Pictometry 2020;Rebuild Construction Updates 2020"
-75.1294667838453,40.0018435769146,16,John (Steve) Schmidt Playground,5_12_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.0801095297078,40.0241052453791,17,Joseph C McIlvain Playground,5_12_YEARS,,,"Google Street View 2018, Pictometry 2020"
-75.1536893425177,39.9155185616273,18,Lawrence E Murphy Recreation Center,5_12_YEARS,2017/01/01 00:00:00+00,,NearMap 2021
-74.9893219099009,40.0952011771668,19,Michael Palmer Playground,5_12_YEARS,2018/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1963279367064,39.9640191843914,20,37th and Mount Vernon Playground ,5_12_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.137034956803,40.0384475857691,21,A Albert Cherashore Playground,5_12_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.164349946428,39.9331664850538,22,Columbus Square,5_12_YEARS,,,NearMap 2021
-74.9976693079096,40.0589268996067,23,Torresdale Recreation Center,5_12_YEARS,2019/01/01 00:00:00+00,,NearMap2021
-75.0971852274094,40.0127562953595,24,Boniface Piccoli Playground,5_12_YEARS,2017/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-74.9915630824383,40.0680625948836,25,Thomas Mitchell Playground,5_12_YEARS,2012/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1432440424009,39.9627603903833,26,Northern Liberties Recreation Center,2_5_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1014369625768,39.9863506080621,27,Frank Glavin Playground,5_12_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2320260992519,39.9152173603464,28,J Francis Finnegan Playground,5_12_YEARS,2017/01/01 00:00:00+00,Next to Recreation Center,"Cyclomedia 2018, Playground Equipment 2017, Capital Data 2019, Pictometry 2020"
-75.0803261275796,40.0138934115899,29,Wilmot Park,UNKNOWN,,,"Cyclomedia 2018, Playground Equipment 2017,Pictometry 2020"
-75.2225773889606,39.9671090384164,30,West Mill Creek,5_12_YEARS,2014/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1743704249508,40.0394237013983,31,Morton Playground,5_12_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.0508218346138,40.0618281422985,32,George C Pelbano Playground,5_12_YEARS,,No Signage. No Fence.,"Pictometry 2020; GIS Field Verified 9/2020"
-75.1452397660437,39.9653500688578,33,Lawrence Street Playground,UNKNOWN,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1770516242811,40.0361329150859,34,Vernon Park,5_12_YEARS,,,"Pictometry 2020, Playground Equipment 2017"
-75.1327555359718,39.98888045733,35,Waterloo Playground,5_12_YEARS,2021/10/01 00:00:00+00,"2021 Renovation, moved to this location.","NearMap 2021, Capital Drawings 2021"
-75.1479239082026,39.9441770243681,36,Delancey Park,5_12_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017"
-75.1281113247448,39.9665746473436,37,Penn Treaty Park,2_12_YEARS,2016/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1303049466236,39.9998002448287,38,Jose Manuel Collazo Park,5_12_YEARS,2017/07/01 00:00:00+00,,NearMap 2021
-75.1417067656558,39.9868800728599,39,Rainbow De Colores Playground,UNKNOWN,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.106799684213,39.9991942251292,40,Harrowgate Park,UNKNOWN,,,"Pictometry 2020, Playground Equipment 2017"
-75.1351421016366,39.9781591100109,41,Michael J Towey Playground,5_12_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.1562263819556,39.9193243621317,42,Mifflin Square,5_12_YEARS,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.2132698645828,40.0216528257376,43,Wissahickon Neighbors Playground,UNKNOWN,,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
