year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2021,1,1,ALL,"",40265471,17756080,20208784,13387727
2021,1,1,ALL_CA,CA,396506,297683,396506,297683
2021,1,1,ALL_US,US,39868965,17458475,19812278,13090044
2021,1,1,ab,CA,71246,56128,71246,56128
2021,1,1,ak,US,46623,24128,24387,17319
2021,1,1,al,US,991074,407464,509496,320389
2021,1,1,ar,US,560804,231744,285404,179164
2021,1,1,as,US,11,11,7,7
2021,1,1,az,US,859486,343981,371980,244617
2021,1,1,bc,CA,47359,35230,47359,35230
2021,1,1,ca,US,3209537,1494627,1560641,1101311
2021,1,1,co,US,682328,297352,282143,190500
2021,1,1,ct,US,321952,159262,179195,119941
2021,1,1,dc,US,41948,31811,0,0
2021,1,1,de,US,104911,50870,55550,37728
2021,1,1,fl,US,3482517,1284372,1438915,899100
2021,1,1,ga,US,1716095,718959,812904,524169
2021,1,1,gu,US,6013,3356,4862,3157
2021,1,1,hi,US,160090,63619,67482,44267
2021,1,1,ia,US,490992,226763,263109,170188
2021,1,1,id,US,189630,84274,94215,62392
2021,1,1,il,US,1397852,730883,762716,527463
2021,1,1,in,US,872012,405458,477874,316617
2021,1,1,ks,US,391553,193326,226577,152366
2021,1,1,ky,US,647785,270034,329813,208665
2021,1,1,la,US,748486,305786,375210,231922
2021,1,1,ma,US,544783,279400,291827,198115
2021,1,1,mb,CA,28455,22654,28455,22654
2021,1,1,md,US,553053,280222,288567,199995
2021,1,1,me,US,123404,55583,67524,44325
2021,1,1,mi,US,1034837,531144,602968,406227
2021,1,1,mn,US,598681,294981,312549,210039
2021,1,1,mo,US,887513,414034,476917,321653
2021,1,1,mp,US,16,16,16,16
2021,1,1,ms,US,566025,223780,286413,175763
2021,1,1,mt,US,100913,47001,49482,33604
2021,1,1,nb,CA,5269,3454,5269,3454
2021,1,1,nc,US,1401343,600776,706265,460557
2021,1,1,nd,US,98676,43665,49146,31586
2021,1,1,ne,US,317112,137797,157107,98236
2021,1,1,nh,US,150343,69568,75558,49758
2021,1,1,nj,US,940236,458130,520913,346304
2021,1,1,nl,CA,3847,2395,3847,2395
2021,1,1,nm,US,176744,88232,85104,58393
2021,1,1,ns,CA,6736,4552,6736,4552
2021,1,1,nt,CA,250,186,250,186
2021,1,1,nu,CA,136,112,136,112
2021,1,1,nv,US,485085,170675,160851,108540
2021,1,1,ny,US,1690121,856750,873582,593400
2021,1,1,oh,US,1447035,693653,795461,535130
2021,1,1,ok,US,677607,294422,349871,228222
2021,1,1,on,CA,140379,105050,140379,105050
2021,1,1,or,US,394699,193112,193119,136117
2021,1,1,pa,US,1198757,647557,693616,479707
2021,1,1,pe,CA,1052,697,1052,697
2021,1,1,pr,US,58151,39136,48364,35507
2021,1,1,qc,CA,72684,52766,72684,52766
2021,1,1,ri,US,92611,45752,49451,33142
2021,1,1,sc,US,812864,342381,409991,261501
2021,1,1,sd,US,118950,50287,58535,36706
2021,1,1,sk,CA,18916,14333,18916,14333
2021,1,1,tn,US,1173369,463119,537268,339744
2021,1,1,tx,US,4391533,1766577,2053801,1303929
2021,1,1,ut,US,366087,158084,167780,110365
2021,1,1,va,US,897253,408711,462272,310448
2021,1,1,vi,US,172,117,0,0
2021,1,1,vt,US,52248,24935,25799,17503
2021,1,1,wa,US,649679,323917,338631,241354
2021,1,1,wi,US,670722,319183,357472,237711
2021,1,1,wv,US,215979,99450,115113,76420
2021,1,1,wy,US,60665,27064,28465,18769
2021,1,1,yt,CA,177,126,177,126
2021,1,2,ALL,"",49340309,18181570,21054894,13533336
2021,1,2,ALL_CA,CA,427862,305878,427862,305878
2021,1,2,ALL_US,US,48912447,17875778,20627032,13227458
2021,1,2,ab,CA,76001,57835,76001,57835
2021,1,2,ak,US,53089,24862,24235,17423
2021,1,2,al,US,1282527,427753,535441,324961
2021,1,2,ar,US,656667,240002,289394,180900
2021,1,2,as,US,6,5,5,4
2021,1,2,az,US,1002250,352804,381514,247392
2021,1,2,bc,CA,50111,35972,50111,35972
2021,1,2,ca,US,3741842,1527075,1608369,1117473
2021,1,2,co,US,782815,301727,290760,191934
2021,1,2,ct,US,398448,164523,188527,120611
2021,1,2,dc,US,51516,36411,0,0
2021,1,2,de,US,132181,53822,58212,37666
2021,1,2,fl,US,4029367,1319146,1473166,915000
2021,1,2,ga,US,2251437,756173,865812,530682
2021,1,2,gu,US,6335,3336,4649,3116
2021,1,2,hi,US,195287,64762,66601,44436
2021,1,2,ia,US,604337,233737,267323,169303
2021,1,2,id,US,218207,86864,95368,63083
2021,1,2,il,US,1832050,755728,811259,532152
2021,1,2,in,US,1144501,425669,501814,317572
2021,1,2,ks,US,528466,202623,239392,152653
2021,1,2,ky,US,755228,281841,332007,209814
2021,1,2,la,US,914346,316808,379898,233789
2021,1,2,ma,US,629159,287127,301961,200442
2021,1,2,mb,CA,31005,23556,31005,23556
2021,1,2,md,US,717863,292067,311995,201208
2021,1,2,me,US,115249,56039,64401,45149
2021,1,2,mi,US,1264137,543405,619193,408917
2021,1,2,mn,US,699967,303996,321505,212871
2021,1,2,mo,US,1181553,436036,509690,324856
2021,1,2,mp,US,21,18,21,18
2021,1,2,ms,US,679505,233369,291080,178096
2021,1,2,mt,US,115507,47833,49553,33779
2021,1,2,nb,CA,5225,3483,5225,3483
2021,1,2,nc,US,1756711,626910,751430,466806
2021,1,2,nd,US,116122,45298,48672,31588
2021,1,2,ne,US,383162,141077,158925,98132
2021,1,2,nh,US,166139,71505,75765,50167
2021,1,2,nj,US,1226382,477694,558863,350654
2021,1,2,nl,CA,3871,2426,3871,2426
2021,1,2,nm,US,202853,90758,85923,58363
2021,1,2,ns,CA,6866,4641,6866,4641
2021,1,2,nt,CA,285,205,285,205
2021,1,2,nu,CA,144,108,144,108
2021,1,2,nv,US,519974,173454,162554,109816
2021,1,2,ny,US,2052326,882054,914470,600826
2021,1,2,oh,US,1942008,721187,863393,541341
2021,1,2,ok,US,868442,304337,367446,230247
2021,1,2,on,CA,154768,107782,154768,107782
2021,1,2,or,US,438654,196992,193261,137130
2021,1,2,pa,US,1583461,671762,740901,483571
2021,1,2,pe,CA,1107,691,1107,691
2021,1,2,pr,US,66888,41512,49739,36728
2021,1,2,qc,CA,77650,54171,77650,54171
2021,1,2,ri,US,109886,47328,51923,33619
2021,1,2,sc,US,1012356,357774,429533,264601
2021,1,2,sd,US,137875,51792,57783,36822
2021,1,2,sk,CA,20646,14874,20646,14874
2021,1,2,tn,US,1413504,482023,554839,342717
2021,1,2,tx,US,5423359,1823477,2125231,1317918
2021,1,2,ut,US,432365,161631,173479,111561
2021,1,2,va,US,1147626,427259,499483,314201
2021,1,2,vi,US,243,169,0,0
2021,1,2,vt,US,53424,24883,25814,17640
2021,1,2,wa,US,736738,331476,341438,244237
2021,1,2,wi,US,806333,326845,366595,237880
2021,1,2,wv,US,264410,105104,118195,76746
2021,1,2,wy,US,67343,27808,28232,18865
2021,1,2,yt,CA,183,134,183,134
