year,month,region,num_visits,num_unique_visitors
2021,2,ALL,781393831,38153890
2021,2,ALL_US,781393831,38153890
2021,2,ak,887957,59019
2021,2,al,22984302,926795
2021,2,ar,10409976,501732
2021,2,as,131,81
2021,2,az,17501651,917422
2021,2,ca,64116090,3696616
2021,2,co,12878927,828878
2021,2,ct,5498938,427717
2021,2,dc,1047823,237221
2021,2,de,1821864,140930
2021,2,fl,68244087,3008983
2021,2,ga,38733345,1878703
2021,2,gu,28743,3891
2021,2,hi,3363469,146102
2021,2,ia,10167314,577318
2021,2,id,3632372,217320
2021,2,il,28798763,1955731
2021,2,in,18137048,991339
2021,2,ks,8946417,476930
2021,2,ky,11646826,711850
2021,2,la,15160913,728143
2021,2,ma,9132246,822082
2021,2,md,9650241,760269
2021,2,me,1908267,115409
2021,2,mi,20483188,1241415
2021,2,mn,11371037,777212
2021,2,mo,19657415,1018820
2021,2,mp,241,54
2021,2,ms,11462382,505721
2021,2,mt,1911666,115004
2021,2,nc,27588977,1427721
2021,2,nd,2074030,112647
2021,2,ne,6380135,361168
2021,2,nh,2501826,178761
2021,2,nj,15963387,1168573
2021,2,nm,3110362,269138
2021,2,nv,8553106,495007
2021,2,ny,30204164,2451742
2021,2,oh,28968974,1622908
2021,2,ok,13838739,713716
2021,2,or,7201346,524125
2021,2,pa,23145093,1707911
2021,2,pr,418677,68519
2021,2,ri,1635848,144720
2021,2,sc,16840915,784569
2021,2,sd,2382569,127972
2021,2,tn,22083853,1149086
2021,2,tx,85228554,4253463
2021,2,ut,6946560,415240
2021,2,va,16985583,1112674
2021,2,vi,4387,1202
2021,2,vt,866222,66600
2021,2,wa,11436045,739235
2021,2,wi,12296361,744891
2021,2,wv,3944334,256271
2021,2,wy,1210145,83883
