X,Y,OBJECTID,PARK_NAME,DATE_INSTALLED,SPRAY_STATUS,COMMENTS,DATA_SOURCE
-75.232109648682,39.9153216033979,1,J Francis Finnegan Playground,,ACTIVE,Sprinkler,"Finder, Cyclomedia, Pictometry 2020"
-75.1612932516078,40.0062362320061,2,Jerome Brown Playground,,ACTIVE,Sprinkler,"Finder, Google Street Photos, Pictometry 2020"
-75.0336501378186,40.0999225956236,3,William A Lackman Memorial Playground,2014/01/01 00:00:00+00,ACTIVE,Sprinkler,Operations 2021
-75.0610492041946,40.0291347904226,4,Lower Mayfair Playground,,ACTIVE,Sprinkler,Operations 2021
-75.1876364896502,39.9890710121802,5,Joseph E Mander Playground,2016/01/01 00:00:00+00,ACTIVE,Sprinkler,Operations 2021
-75.183244837353,39.948108665852,6,William H (Billy) Markward Memorial Playground,2017/01/01 00:00:00+00,ACTIVE,Sprayground,Operations 2021
-75.1697331819435,39.980591788266,7,Dr Martin Luther King Jr Recreation Center,2014/01/01 00:00:00+00,ACTIVE,Sprinkler,Operations 2021
-75.1874032243323,40.0086989057515,8,Harry S McDevitt Playground,2013/01/01 00:00:00+00,ACTIVE,Sprinkler,Operations 2021
-75.0799964386377,40.0239707433803,9,Joseph C McIlvain Playground,,ACTIVE,Sprinkler,"Finder; Pictometry 2020"
-75.1565210788515,39.9194919908594,10,Mifflin Square,,ACTIVE,Sprayground,Operations 2021
-75.1954678398352,39.9672671128053,11,Miles Mack Playground,2021/05/01 00:00:00+00,ACTIVE,Sprinkler,"Operations 2021;NearMap2021"
-75.2157410600484,39.9660455825984,12,Mill Creek Playground and Recreation Center,,ACTIVE,Sprinkler,Operations 2021
-74.9917273312009,40.0681052763197,13,Thomas Mitchell Playground,2012/01/01 00:00:00+00,ACTIVE,Sprinkler,"Finder; Capital 2019; Pictometry 2020"
-75.1006006236262,39.9830210696625,14,Reverend M Monkiewicz Recreation Center,,ACTIVE,Sprinkler,"Finder, Google Street Photos, Pictometry 2020"
-75.1877968756312,40.0575225101812,15,Mount Airy Playground,,ACTIVE,Sprinkler,Operations 2021
-75.1431617033731,39.9627175681059,16,Northern Liberties Recreation Center,,ACTIVE,Sprinkler,"Finder, Pictometry 2020"
-75.1174816578052,40.0425212319549,17,Olney Recreation Center,,ACTIVE,Sprinkler,"Finder, Pictometry 2020"
-74.9894455667204,40.0950443673271,18,Michael Palmer Playground,2018/01/01 00:00:00+00,ACTIVE,Sprinkler,Operations 2021
-75.2559402349753,39.974349274459,19,Charles A Papa Playground,2015/01/01 00:00:00+00,ACTIVE,Sprinkler,Operations 2021
-75.0509893668915,40.0615536642186,20,George C Pelbano Playground,,ACTIVE,Sprinkler,Operations 2021
-74.9893973351847,40.0807139309182,21,Elizabeth M Picariello Playground,2010/01/01 00:00:00+00,ACTIVE,Sprinkler,Operations 2021
-75.0969481592353,40.0128667934568,22,Boniface Piccoli Playground,2017/01/01 00:00:00+00,ACTIVE,Sprinkler,"Finder; Capital 2019, Pictometry 2020"
-75.1824628683304,40.0568897763487,23,Pleasant Playground,,ACTIVE,Sprinkler,Operations 2021
-75.0244228547882,40.0479213503182,24,James J Ramp Playground,,ACTIVE,Sprinkler,Operations 2021
