OBJECTID,TRAIL_NAME,TRAIL_SYSTEM,ALIAS,LABEL,TRAIL_ID,TRAIL_TYPE,TRAIL_SURFACE,TRAIL_STATUS,TRAIL_RESTRICTIONS,PEDESTRIAN_ACCESS,BIKE_ACCESS,HORSE_ACCESS,CIRCUIT_TRAIL,ECG_TRAIL,SRT_TRAIL,DRG_TRAIL,MILES,COMMENTS,NMT911_TRAIL,Shape__Length
1,MLK Trail,WEST_FAIRMOUNT,West River Drive Trail,MLK Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,N,N,4.17835109,,N,8785.25583763855
2,Kelly Drive Trail,EAST_FAIRMOUNT,,Schuylkill River Trail,,MAJOR,HARD,EXISTING,,Y,Y,N,Y,N,Y,N,4.41853551,,Y,9289.67193583892
3,Trolley Trail,WEST_FAIRMOUNT,,Trolley Trail,,MAJOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.20735441,,N,436.192701549042
4,Trolley Trail,WEST_FAIRMOUNT,,Trolley Trail,,MAJOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.26644582,,N,559.777086500892
5,Boxers Trail,EAST_FAIRMOUNT,,Boxers' Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,1.08832743,,N,2286.82756210942
6,Boxers Trail,EAST_FAIRMOUNT,,Boxers' Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.90726004,,N,1905.39444683295
7,Trolley Trail,WEST_FAIRMOUNT,Demo Trail,Trolley Trail,,MAJOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.12465641,,N,261.912620317085
8,Trolley Trail,WEST_FAIRMOUNT,Demo Trail,Trolley Trail,,MAJOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.03390184,,N,71.3590893461539
9,Lincoln Drive Trail,WISSAHICKON,,Lincoln Drive Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.46628872,,N,980.830042583826
10,Lincoln Drive Trail,WISSAHICKON,,Lincoln Drive Trail,,MAJOR,HARD,CLOSED,,Y,Y,Y,Y,N,N,N,0.17741707,,N,373.354692355547
11,Forbidden Drive,WISSAHICKON,,Forbidden Drive,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.27686758,,N,581.48660821227
12,Forbidden Drive,WISSAHICKON,,Forbidden Drive,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,2.2485112,,N,4733.74497027349
13,Lincoln Drive Trail,WISSAHICKON,,Lincoln Drive Trail,,MAJOR,HARD,CLOSED,,Y,Y,Y,Y,N,N,N,0.02638012,,N,55.3885372246808
14,Lincoln Drive Trail Boardwalk,WISSAHICKON,,Lincoln Drive Trail Boardwalk,,MAJOR,HARD,CLOSED,,Y,Y,Y,Y,N,N,N,0.06157007,,N,129.575710252259
15,Blue Stone Bridge,WISSAHICKON,,,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.02871416,,N,60.2719099286625
16,Forbidden Drive,WISSAHICKON,,Forbidden Drive,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.38280333,,N,805.268611597805
17,Lincoln Drive Trail,WISSAHICKON,,Lincoln Drive Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.06364841,,N,133.766630977487
18,Minor Trail,COBBS_LOWER,,Minor Trail,,MINOR,SOFT,EXISTING,,Y,Y,Y,N,N,N,N,0.19766431,,N,415.240713248863
19,Minor Trail,COBBS_LOWER,,Minor Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.03828088,,N,80.515905143001
20,Minor Trail,COBBS_LOWER,,Minor Trail,,MINOR,HARD,EXISTING,,Y,Y,Y,N,N,N,N,0.14157969,,N,297.439387684374
21,Pennypack Trail,PENNYPACK,,Pennypack Trail,,MAJOR,HARD,EXISTING,,Y,Y,Y,Y,N,N,N,0.07472085,,N,157.225189526466
