index,id,owner,datetaken,latitude,longitude,title,accuracy,views,Cluster
0,8918787381,74212514@N04,2010-01-10 15:50:46,44.354492,-68.051204,Acadia National Park,12.0,793,0
1,29498596186,74212514@N04,2010-01-10 16:03:20,44.354492,-68.051204,Maine - Acadia National Park,12.0,5829,0
2,8919396564,74212514@N04,2010-01-10 16:15:59,44.354492,-68.051204,DSC03484,12.0,55,0
3,8918780331,74212514@N04,2010-01-10 16:31:06,44.354492,-68.051204,DSC03491,12.0,57,0
4,8918778905,74212514@N04,2010-01-10 16:42:40,44.354492,-68.051204,DSC03498,12.0,67,0
5,8919392036,74212514@N04,2010-01-10 16:54:03,44.354492,-68.051204,DSC03512,12.0,53,0
6,8919389732,74212514@N04,2010-01-10 16:54:21,44.354492,-68.051204,Acadia NP,12.0,124,0
7,8918772717,74212514@N04,2010-01-10 18:08:41,44.354492,-68.051204,Acadia,12.0,166,0
8,8919384782,74212514@N04,2010-01-10 18:25:49,44.354492,-68.051204,DSC03560,12.0,37,0
9,6893141366,76543445@N04,2010-02-13 14:37:05,44.367343,-68.076546,Kitchen Counter Coastline,15.0,18,0
11,6129417072,33768983@N04,2010-02-18 17:02:26,44.388809,-68.21145600000001,"Thunder Hole, Acadia National Park",11.0,36,4
16,6814704656,75772270@N07,2010-05-15 02:47:37,44.388809,-68.21145600000001,Arcadia National Park,11.0,333,4
19,6477613105,30384039@N06,2010-05-25 16:05:34,44.391107,-68.205013,Bar Harbor 1,13.0,17,4
20,4746083699,29343043@N00,2010-05-28 15:35:28,44.222336,-68.337237,"Bass Harbor Head Lighthouse at Low Tide, Maine (ME) (DSF_3408)",16.0,613,1
21,7694169062,64612868@N04,2010-05-29 18:04:59,44.388809,-68.21145600000001,Maine Lobster Boats,11.0,165,4
23,4746080769,29343043@N00,2010-05-30 11:23:40,44.362821999999994,-68.20800899999999,Birch Log (DSF_3659),16.0,367,5
25,8123561680,28199329@N05,2010-06-01 11:03:46,44.338583,-68.046741,,16.0,336,0
26,4746092347,29343043@N00,2010-06-02 16:02:37,44.392361,-68.20442800000001,Bar Harbor - Rusty Lobster Boat (DSF_4401),16.0,413,4
28,5897375837,64771187@N07,2010-06-05 16:02:15,44.388809,-68.21145600000001,,16.0,14,4
29,5897951252,64771187@N07,2010-06-08 00:08:31,44.388809,-68.21145600000001,Waterfall,11.0,11,4
30,5897369453,64771187@N07,2010-06-08 00:48:55,44.388809,-68.21145600000001,,16.0,5,4
31,6878136091,58810308@N06,2010-06-08 20:36:10,44.292646000000005,-68.273574,Acadia,10.0,452,3
33,6889839388,54699723@N06,2010-06-12 02:14:27,44.388809,-68.21145600000001,Bar Harbor,11.0,413,4
34,28630149686,47859749@N03,2010-06-12 20:50:25,44.244690000000006,-68.30389,Baby Racoons,13.0,214,1
35,6128598864,55305522@N07,2010-06-12 22:21:31,44.388362,-68.21323100000001,lazy cat,16.0,68,4
36,6128052379,55305522@N07,2010-06-12 22:34:55,44.388362,-68.21323100000001,flower alt,16.0,114,4
37,6128603456,55305522@N07,2010-06-12 22:35:20,44.388362,-68.21323100000001,flower,16.0,110,4
38,6129394500,55305522@N07,2010-06-17 22:55:54,44.388362,-68.21323100000001,bee,16.0,52,4
39,6128845789,55305522@N07,2010-06-17 22:55:55,44.388362,-68.21323100000001,bee,16.0,54,4
40,6129397538,55305522@N07,2010-06-17 22:55:57,44.388362,-68.21323100000001,bee,16.0,55,4
45,40615743792,66733752@N00,2010-06-19 06:28:19,44.295072999999995,-68.28535,"Mount Desert Island, Maine",16.0,96,3
46,26786542838,66733752@N00,2010-06-19 06:29:30,44.295072999999995,-68.28535,"Mount Desert Island, Maine",16.0,183,3
63,40707970632,66733752@N00,2010-06-19 10:13:39,44.279782,-68.32592700000001,"Mount Desert Island, Maine",16.0,530,2
64,26880024918,66733752@N00,2010-06-19 10:15:49,44.279782,-68.32592700000001,"Mount Desert Island, Maine",16.0,361,2
65,40707973012,66733752@N00,2010-06-19 10:16:52,44.279782,-68.32592700000001,"Mount Desert Island, Maine",16.0,101,2
66,26880025888,66733752@N00,2010-06-19 10:17:30,44.279782,-68.32592700000001,"Mount Desert Island, Maine",16.0,152,2
67,40707975572,66733752@N00,2010-06-19 10:19:03,44.279782,-68.32592700000001,"Mount Desert Island, Maine",16.0,177,2
68,26880024158,66733752@N00,2010-06-19 10:19:58,44.279782,-68.32592700000001,"Mount Desert Island, Maine",16.0,145,2
69,26880023668,66733752@N00,2010-06-19 10:25:22,44.276955,-68.31402800000001,"Mount Desert Island, Maine",16.0,127,2
70,26880027028,66733752@N00,2010-06-19 12:21:52,44.276955,-68.31402800000001,"Mount Desert Island, Maine",16.0,206,2
71,40707978472,66733752@N00,2010-06-19 12:22:10,44.276955,-68.31402800000001,"Mount Desert Island, Maine",16.0,78,2
72,40062033134,66733752@N00,2010-06-19 12:33:21,44.237697,-68.347223,Mount Desert Island. Maine,16.0,1627,1
73,40730072342,66733752@N00,2010-06-19 12:34:12,44.237697,-68.347223,Mount Desert Island. Maine,16.0,358,1
74,40062036204,66733752@N00,2010-06-19 12:47:42,44.238988,-68.35276,Mount Desert Island. Maine,16.0,398,1
75,40062034344,66733752@N00,2010-06-19 12:47:53,44.238988,-68.35276,Mount Desert Island. Maine,16.0,257,1
76,40730068022,66733752@N00,2010-06-19 12:48:49,44.23905,-68.352813,Mount Desert Island. Maine,16.0,152,1
77,7553940774,19436047@N08,2010-06-20 20:55:35,44.355999,-68.226196,"Bar Harbor, MA",16.0,35,6
78,7985188118,42176857@N00,2010-06-21 13:04:09,44.394174,-68.209969,IMG_0629,16.0,12,4
79,7995880548,42176857@N00,2010-06-21 13:09:48,44.388809,-68.21145600000001,IMG_0646,11.0,15,4
80,6496817103,59698703@N05,2010-06-22 11:37:28,44.39105,-68.204296,Bar Harbor,15.0,589,4
90,28208283841,11325185@N02,2010-06-28 12:10:37,44.275625,-68.32493000000001,SOLITARY CANOE,16.0,117,2
93,22685962898,76888602@N06,2010-06-29 11:13:03,44.353252000000005,-68.22587,Cadillac Mountain Outlook,13.0,65,6
94,16287575603,26367621@N02,2010-06-29 14:57:07,44.323218,-68.252687,"Jordan Pond, Acadia National Park, Bar Harbor, ME",14.0,718,9
100,5624986714,58514155@N08,2011-01-12 00:00:00,44.388769,-68.207051,,16.0,335,4
101,5624395539,58514155@N08,2011-01-12 00:00:00,44.388769,-68.207051,,16.0,279,4
108,5438923109,25345777@N00,2011-02-03 15:17:06,44.276346999999994,-68.310331,IMG_5225,16.0,84,2
109,5438923391,25345777@N00,2011-02-03 15:17:21,44.276408,-68.310298,IMG_5226,16.0,28,2
110,5438923459,25345777@N00,2011-02-03 15:28:33,44.276408,-68.310298,IMG_5227,16.0,27,2
111,5438930287,25345777@N00,2011-02-03 15:36:52,44.276424,-68.310684,IMG_5229,16.0,30,2
126,5439552210,25345777@N00,2011-02-04 13:50:31,44.338925,-68.279717,IMG_5250,16.0,17,7
127,5439552426,25345777@N00,2011-02-04 14:24:22,44.337579999999996,-68.275878,IMG_5251,16.0,34,7
128,5438946257,25345777@N00,2011-02-04 14:28:13,44.336946999999995,-68.27571400000001,IMG_5253,16.0,19,7
131,5439553542,25345777@N00,2011-02-05 07:45:48,44.276405,-68.310417,IMG_5258,16.0,25,2
132,5439553664,25345777@N00,2011-02-05 07:46:40,44.276405,-68.310417,IMG_5259,16.0,22,2
133,5439553858,25345777@N00,2011-02-05 07:46:59,44.276405,-68.310417,IMG_5260,16.0,23,2
145,5439557462,25345777@N00,2011-02-07 10:43:32,44.276497,-68.310781,IMG_5282,16.0,19,2
146,5436786985,12842060@N06,2011-02-10 10:18:33,44.38943,-68.209259,antagonic,16.0,75,4
155,5452992695,9459750@N08,2011-02-16 14:13:30,44.278146,-68.321914,002,11.0,4,2
156,5453606816,9459750@N08,2011-02-16 14:13:44,44.277162,-68.319168,003,11.0,6,2
157,5453012695,9459750@N08,2011-02-16 14:15:27,44.275933,-68.313331,010,11.0,3,2
158,5453627116,9459750@N08,2011-02-16 14:16:29,44.278146,-68.319854,012,11.0,19,2
159,5453017277,9459750@N08,2011-02-16 14:16:36,44.276794,-68.313331,013,11.0,9,2
160,5453637704,9459750@N08,2011-02-16 14:17:53,44.276425,-68.31573399999999,017,11.0,9,2
161,5451838456,59128478@N08,2011-02-16 15:31:29,44.323786,-68.254623,TheBubbles2009-8569,12.0,35,9
164,5451229153,59128478@N08,2011-02-16 15:32:52,44.325551000000004,-68.1854,TheBubbles2009-8278,14.0,89,12
167,5451844802,59128478@N08,2011-02-16 15:34:12,44.322067,-68.187503,TheBubbles2009-8168,14.0,21,11
183,5470349463,9459750@N08,2011-02-22 12:32:55,44.278391,-68.32088399999999,021,11.0,13,2
184,5470951364,9459750@N08,2011-02-22 13:12:18,44.276671,-68.31642099999999,025,11.0,18,2
185,5470960164,9459750@N08,2011-02-22 13:14:07,44.277777,-68.318138,029,11.0,42,2
189,5476584837,43154370@N02,2011-02-25 14:14:57,44.386596000000004,-68.204154,Almost 1 Year!,15.0,283,4
190,5477185946,43154370@N02,2011-02-25 14:14:59,44.386596000000004,-68.204154,Almost 1 Year!,15.0,46,4
191,5477186654,43154370@N02,2011-02-25 14:15:19,44.386596000000004,-68.204154,Almost 1 Year!,15.0,53,4
192,5476586465,43154370@N02,2011-02-25 14:15:43,44.386596000000004,-68.204154,Almost 1 Year!,15.0,50,4
193,5477187626,43154370@N02,2011-02-25 14:15:46,44.386596000000004,-68.204154,Bathtime Bear,15.0,77,4
194,5477187736,43154370@N02,2011-02-25 14:15:48,44.386596000000004,-68.204154,Bathtime Bear,15.0,67,4
195,5476586691,43154370@N02,2011-02-25 14:15:50,44.386596000000004,-68.204154,Bathtime Bear,15.0,90,4
196,5476586777,43154370@N02,2011-02-25 14:15:52,44.386596000000004,-68.204154,Bathtime Bear,15.0,75,4
204,5479654882,43154370@N02,2011-02-26 13:31:41,44.386596000000004,-68.204154,Xander,15.0,10,4
205,5479654936,43154370@N02,2011-02-26 13:31:43,44.386596000000004,-68.204154,Xander,15.0,69,4
206,5479055183,43154370@N02,2011-02-26 13:31:45,44.386596000000004,-68.204154,Pierce and Xander,15.0,27,4
207,5479655114,43154370@N02,2011-02-26 13:31:47,44.386596000000004,-68.204154,Almost 1 Year!,15.0,24,4
208,5479055331,43154370@N02,2011-02-26 13:31:49,44.386596000000004,-68.204154,Almost 1 Year!,15.0,15,4
209,5479055389,43154370@N02,2011-02-26 13:31:51,44.386596000000004,-68.204154,Almost 1 Year!,15.0,21,4
