Places,a,b,c,d,e,f,g,h,i,j,k,l,m
Schoodic Institute,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Bass Harbor,0.05,0.0,0.35,0.0,0.3,0.05,0.05,0.15,0.0,0.0,0.05,0.0,0.0
Southwest Harbor,0.0,0.3,0.0,0.0,0.2,0.0,0.2,0.1,0.0,0.1,0.0,0.1,0.0
Northeast Harbor,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bar Harbor,0.03125,0.15625,0.0625,0.0,0.0,0.0625,0.28125,0.0,0.03125,0.1875,0.03125,0.0625,0.09375
Wild Gardens of Acadia,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
Cadillac Mountain,0.037037037037037035,0.18518518518518517,0.0,0.07407407407407407,0.14814814814814814,0.0,0.0,0.0,0.1111111111111111,0.18518518518518517,0.0,0.1111111111111111,0.14814814814814814
Penobscot Peak,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
Bubble Rock,0.08333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.08333333333333333
Jordan Pond,0.05263157894736842,0.15789473684210525,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.15789473684210525,0.0,0.3684210526315789,0.0,0.0,0.0,0.10526315789473684
Boulder Beach,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
Thunder Hole,0.0,0.05555555555555555,0.0,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.3333333333333333,0.0,0.05555555555555555,0.1111111111111111,0.16666666666666666,0.0,0.0
Sand Beach,0.0,0.05555555555555555,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.3888888888888889,0.0
