origin,dest,count
2,1,2
4,1,5
5,1,5
6,1,2
7,1,2
8,1,3
9,1,7
10,1,10
11,1,9
12,1,27
13,1,8
14,1,6
15,1,29
16,1,5
17,1,4
18,1,1
19,1,2
20,1,3
21,1,5
1,2,1
3,2,1
4,2,37
5,2,2
6,2,16
7,2,25
8,2,1
9,2,1
10,2,3
12,2,5
13,2,4
14,2,1
15,2,4
16,2,3
17,2,2
19,2,1
20,2,2
21,2,2
1,3,1
4,3,7
5,3,1
6,3,10
7,3,1
8,3,2
10,3,2
11,3,4
12,3,5
13,3,2
14,3,1
15,3,3
16,3,2
17,3,1
18,3,2
19,3,7
20,3,2
1,4,3
2,4,45
3,4,1
6,4,27
7,4,41
8,4,2
9,4,2
10,4,8
11,4,2
12,4,6
13,4,4
14,4,2
15,4,5
16,4,5
17,4,1
18,4,1
19,4,6
21,4,4
1,5,10
2,5,1
8,5,1
11,5,3
12,5,5
13,5,2
14,5,2
15,5,2
17,5,1
19,5,4
1,6,1
2,6,18
3,6,7
4,6,33
5,6,2
7,6,26
8,6,2
9,6,4
10,6,7
11,6,9
12,6,9
13,6,9
14,6,7
15,6,13
16,6,1
17,6,2
19,6,3
20,6,5
21,6,7
1,7,4
2,7,12
3,7,2
4,7,31
5,7,1
6,7,45
8,7,2
9,7,1
10,7,3
11,7,2
12,7,2
13,7,3
14,7,2
15,7,8
16,7,1
17,7,5
19,7,2
20,7,1
21,7,1
1,8,5
2,8,8
3,8,12
4,8,3
5,8,1
6,8,6
7,8,3
9,8,1
10,8,1
11,8,3
12,8,10
13,8,9
14,8,7
15,8,8
16,8,6
17,8,6
18,8,1
19,8,9
20,8,7
21,8,4
1,9,1
4,9,1
5,9,1
6,9,4
7,9,1
8,9,1
10,9,15
11,9,4
12,9,19
13,9,14
14,9,4
15,9,9
16,9,12
17,9,12
18,9,11
19,9,14
20,9,15
21,9,12
1,10,7
2,10,1
3,10,4
4,10,7
5,10,1
6,10,6
7,10,7
8,10,5
9,10,14
11,10,5
12,10,28
13,10,22
14,10,7
15,10,30
16,10,14
17,10,26
18,10,3
19,10,10
20,10,14
21,10,18
1,11,6
2,11,1
3,11,1
4,11,3
6,11,2
7,11,2
8,11,6
9,11,6
10,11,8
12,11,15
13,11,41
14,11,16
15,11,12
16,11,11
17,11,17
18,11,6
19,11,15
20,11,12
21,11,17
1,12,40
2,12,3
3,12,8
4,12,6
5,12,6
6,12,6
7,12,3
8,12,34
9,12,17
10,12,24
11,12,23
13,12,39
14,12,55
15,12,44
16,12,12
17,12,25
18,12,7
19,12,15
20,12,19
21,12,28
1,13,7
2,13,5
3,13,8
4,13,2
5,13,3
6,13,14
7,13,1
8,13,32
9,13,9
10,13,13
11,13,20
12,13,103
14,13,42
15,13,26
16,13,6
17,13,7
18,13,4
19,13,9
20,13,8
21,13,13
1,14,3
2,14,5
3,14,4
4,14,2
6,14,8
7,14,3
8,14,24
9,14,6
10,14,15
11,14,34
12,14,41
13,14,28
15,14,7
16,14,5
17,14,12
18,14,8
19,14,15
20,14,9
21,14,20
1,15,25
2,15,5
3,15,5
4,15,6
5,15,5
6,15,9
7,15,1
8,15,11
9,15,11
10,15,27
11,15,2
12,15,88
13,15,21
14,15,23
16,15,3
17,15,13
18,15,5
19,15,10
20,15,7
21,15,11
1,16,2
3,16,3
4,16,2
6,16,3
7,16,1
8,16,4
9,16,9
10,16,15
11,16,10
12,16,18
13,16,15
14,16,3
15,16,6
17,16,21
18,16,7
19,16,15
20,16,6
21,16,17
1,17,5
2,17,1
3,17,1
4,17,3
5,17,2
6,17,3
7,17,2
8,17,6
9,17,5
10,17,5
11,17,14
12,17,40
13,17,67
14,17,22
15,17,13
16,17,6
18,17,3
19,17,10
20,17,5
21,17,12
1,18,1
4,18,1
5,18,2
6,18,1
9,18,9
10,18,10
11,18,3
12,18,11
13,18,4
14,18,3
15,18,4
16,18,12
17,18,10
19,18,12
20,18,4
21,18,20
1,19,2
3,19,6
4,19,1
5,19,2
6,19,1
7,19,2
8,19,3
9,19,14
10,19,14
11,19,6
12,19,16
13,19,19
14,19,6
15,19,11
16,19,20
17,19,17
18,19,15
20,19,8
21,19,34
1,20,5
3,20,2
8,20,4
9,20,6
10,20,5
11,20,9
12,20,13
13,20,23
14,20,7
15,20,5
16,20,7
17,20,20
18,20,7
19,20,12
21,20,42
1,21,6
2,21,4
4,21,1
5,21,1
6,21,5
7,21,2
8,21,4
9,21,12
10,21,20
11,21,13
12,21,28
13,21,32
14,21,15
15,21,11
16,21,9
17,21,44
18,21,10
19,21,30
20,21,37
