,Schoodic Institute,Bass Harbor,Southwest Harbor,Northeast Harbor,Bar Harbor,Wild Gardens of Acadia,Cadillac Mountain,Penobscot Peak,Bubble Rock,Jordan Pond,Boulder Beach,Thunder Hole,Sand Beach
Schoodic Institute,0,81.026,74.132,73.382,73.512,77.424,84.215,69.457,82.548,85.141,82.609,83.429,84.342
Bass Harbor,84.206,0,8.08,26.813,29.721,32.39,34.466,22.888,32.798,35.392,37.576,38.395,39.309
Southwest Harbor,77.312,8.08,0,19.919,22.828,25.497,27.572,15.994,25.905,28.498,30.682,31.502,32.415
Northeast Harbor,76.562,26.813,19.919,0,17.66,14.353,22.404,3.925,20.737,23.33,14.331,15.151,16.064
Bar Harbor,76.747,29.791,22.898,17.73,0,4.416,10.117,13.805,8.45,11.043,9.602,10.422,11.335
Wild Gardens of Acadia,80.818,32.549,25.656,14.512,4.654,0,12.786,16.563,11.118,13.712,6.143,6.963,7.876
Cadillac Mountain,84.215,34.466,27.572,22.404,10.117,12.786,0,18.479,9.605,12.21,17.971,18.791,19.704
Penobscot Peak,72.637,22.888,15.994,3.925,13.735,16.404,18.479,0,16.812,19.405,18.256,19.075,19.989
Bubble Rock,82.548,32.798,25.905,20.737,8.45,11.118,9.605,16.812,0,2.628,16.304,17.124,18.037
Jordan Pond,85.141,35.392,28.498,23.33,11.043,13.712,12.21,19.405,2.628,0,18.897,19.717,20.631
Boulder Beach,86.131,37.862,30.969,14.618,9.967,6.271,17.971,18.542,16.304,18.897,0,1.107,2.02
Thunder Hole,85.154,36.885,29.992,21.827,8.99,8.272,18.791,20.899,17.124,19.717,13.458,0,0.914
Sand Beach,84.24,35.972,29.078,20.91,8.076,7.359,19.704,19.985,18.037,20.631,12.544,13.364,0
