id,name,lat,lon
1,Schoodic Institute,44.34414804,-68.06131927
2,Bass Harbor,44.22909192,-68.33120257
3,Southwest Harbor,44.28251131,-68.32140053
4,Northeast Harbor,44.30157284,-68.28115109
5,Bar Harbor,44.39024986,-68.20581956
6,Wild Gardens of Acadia,44.36219604,-68.20876241
7,Cadillac Mountain,44.35374984,-68.2250963
8,Penobscot Peak,44.33871523,-68.27338174
9,Bubble Rock,44.34007653,-68.25474647
10,Jordan Pond,44.322185,-68.252109
11,Boulder Beach,44.3124409,-68.18984943
12,Thunder Hole,44.32074291,-68.18874595
13,Sand Beach,44.32839987,-68.18396349
